Wall time,Step,Value
1573787253.9030142,4000,-79.63642883300781
1573787260.8130841,6000,-52.70505905151367
1573787265.6097958,7000,-17.272533416748047
1573787275.090094,9000,-36.64728546142578
1573787284.8554676,11000,-56.48900604248047
1573787289.6896925,12000,-89.18085479736328
1573787294.4828718,13000,-89.52108001708984
1573787299.282409,14000,-35.83955001831055
1573787304.2175908,15000,-74.76345825195312
1573787309.0167196,16000,-146.85052490234375
1573787313.8712537,17000,-35.46642303466797
1573787318.7304268,18000,-60.781585693359375
1573787323.4864552,19000,-68.2265625
1573787328.3300915,20000,-93.3763427734375
1573787334.4011745,21000,-574.6691284179688
1573787346.3802123,23000,-499.3525390625
1573787358.410291,25000,-160.3654327392578
1573787364.5073526,26000,-72.06478881835938
1573787398.0893242,31000,880.845458984375
1573787405.074584,32000,1033.498291015625
1573787412.0398827,33000,937.2755737304688
1573787418.9615262,34000,963.21630859375
1573787425.9996593,35000,1072.81591796875
1573787439.8752024,37000,1265.6619873046875
1573787460.9100146,40000,1412.4091796875
1573787467.9447348,41000,1418.7037353515625
1573787481.9427977,43000,1556.561767578125
1573787488.9385984,44000,1652.682373046875
1573787495.903293,45000,1674.2413330078125
1573787502.8885927,46000,1647.4818115234375
1573787516.906666,48000,1662.6298828125
1573787530.8849707,50000,1875.4918212890625
1573787537.9098105,51000,172.64419555664062
1573787558.9074056,54000,1784.9219970703125
1573787565.90876,55000,1704.720947265625
1573787572.915711,56000,1637.951171875
1573787579.9661553,57000,1543.7618408203125
1573787587.007504,58000,1556.841064453125
1573787607.9246213,61000,1836.5765380859375
1573787614.9390213,62000,1914.6151123046875
1573787628.995316,64000,1861.34912109375
1573787636.0457294,65000,1819.259521484375
1573787643.076389,66000,1963.305908203125
1573787650.1251376,67000,1985.3193359375
1573787657.1718662,68000,2059.517578125
1573787664.1933532,69000,1884.642333984375
1573787671.2314322,70000,2071.2158203125
1573787685.3035927,72000,1820.2762451171875
1573787692.3305976,73000,1864.166748046875
1573787699.4139183,74000,1876.5185546875
1573787706.4508207,75000,1891.8770751953125
1573787720.5331554,77000,1993.342041015625
1573787734.6372874,79000,2077.14794921875
