Wall time,Step,Value
1564337879.7341967,6000,-383.0252380371094
1564337887.1813786,7000,-367.2690124511719
1564337917.4761877,11000,-438.1327819824219
1564337925.011414,12000,-401.7104797363281
1564337940.0177815,14000,-399.33197021484375
1564337947.49702,15000,-412.6559143066406
1564337954.9914706,16000,-392.7361755371094
1564337969.931253,18000,-411.5631408691406
1564337977.430311,19000,-456.5293884277344
1564337984.8587954,20000,-418.2249755859375
1564337994.9765663,21000,-556.32861328125
1564338034.9868102,25000,-337.2822265625
1564338124.5651634,34000,490.61981201171875
1564338134.461896,35000,687.076416015625
1564338154.2849576,37000,905.4739990234375
1564338184.428542,40000,857.8206787109375
1564338194.379385,41000,850.8897094726562
1564338214.6881983,43000,830.9133911132812
1564338234.8514833,45000,936.513427734375
1564338244.975736,46000,955.8861083984375
1564338265.3912048,48000,1003.3303833007812
1564338297.3448782,50000,964.8609008789062
1564338311.0005229,51000,1001.1419677734375
1564338351.6357064,54000,1029.9781494140625
1564338365.2676206,55000,1059.5760498046875
1564338378.5585182,56000,1096.3223876953125
1564338392.31557,57000,1104.9420166015625
1564338406.0502748,58000,1120.2576904296875
1564338446.4609718,61000,1076.5841064453125
1564338459.9021022,62000,1100.75439453125
1564338486.6010714,64000,1042.291259765625
1564338513.570732,66000,1063.2589111328125
1564338526.923236,67000,1123.05224609375
1564338540.3553438,68000,1138.28515625
1564338553.7920606,69000,1139.434326171875
1564338594.085802,72000,1181.9266357421875
1564338607.5308237,73000,1214.190673828125
1564338621.0302343,74000,1154.8687744140625
1564338634.4690018,75000,1153.89306640625
1564338661.2509487,77000,1225.451416015625
1564338701.4936378,80000,1216.552001953125
1564338768.3517373,85000,1232.2493896484375
1564338781.909283,86000,1216.0181884765625
1564338795.4235225,87000,1177.541259765625
1564338808.896999,88000,1233.7816162109375
1564338822.3508518,89000,1209.2965087890625
1564338835.76502,90000,1202.9068603515625
1564338903.2455964,95000,1228.6427001953125
1564339010.674752,103000,1274.6495361328125
1564339051.0414605,106000,1257.6954345703125
1564339064.592267,107000,1249.3541259765625
1564339158.9323342,114000,1204.57080078125
1564339199.1861298,117000,1233.5096435546875
1564339226.1557002,119000,1171.8653564453125
1564339239.5586705,120000,1279.798583984375
1564339252.906332,121000,1247.8193359375
1564339306.5865066,125000,1248.1844482421875
1564339319.8994813,126000,1232.10546875
1564339333.3358793,127000,1236.6533203125
1564339373.4658737,130000,1341.5670166015625
1564339386.8166995,131000,1283.6851806640625
1564339426.8530254,134000,1274.656005859375
1564339480.4485528,138000,1259.424560546875
1564339507.1731966,140000,1262.2471923828125
1564339533.967839,142000,1219.574951171875
1564339547.412889,143000,1218.7647705078125
1564339560.8635123,144000,1168.7030029296875
1564339574.2017682,145000,1156.1563720703125
1564339628.0254307,149000,1257.9052734375
1564339654.9318168,151000,1204.3109130859375
1564339695.2966514,154000,1281.81298828125
1564339708.7244418,155000,1180.5928955078125
1564339722.1178443,156000,1264.473388671875
1564339748.8851175,158000,1278.4141845703125
1564339762.3145041,159000,1230.233154296875
1564339775.7468894,160000,1322.19677734375
1564339815.6735978,163000,1324.2706298828125
1564339842.3995047,165000,1338.1519775390625
1564339855.8183303,166000,1275.7535400390625
1564339882.5489736,168000,1286.648193359375
1564339895.9053912,169000,1322.135986328125
1564339936.1241038,172000,1383.5379638671875
1564340003.5328712,177000,1235.9991455078125
1564340017.0282202,178000,1286.7276611328125
1564340030.3683372,179000,1333.94921875
1564340056.8900537,181000,1378.3441162109375
1564340070.2369654,182000,1352.42822265625
1564340096.8881288,184000,1361.722900390625
1564340123.6475234,186000,1251.0517578125
1564340137.0549905,187000,1337.8099365234375
1564340150.3272727,188000,1353.733154296875
1564340163.6294901,189000,1277.7401123046875
1564340190.7277355,191000,1301.6383056640625
1564340204.1773512,192000,1282.9967041015625
1564340298.2335894,199000,1371.2103271484375
1564340352.063906,203000,1304.239013671875
1564340405.8063314,207000,1360.1292724609375
1564340419.2962058,208000,1341.8994140625
1564340432.755592,209000,1332.5770263671875
1564340486.7190688,213000,1339.14990234375
1564340526.9147427,216000,1350.452880859375
1564340567.320113,219000,1360.2567138671875
1564340580.6943848,220000,1391.220703125
1564340621.1524866,223000,1382.394287109375
1564340634.5830123,224000,1345.71240234375
1564340661.640576,226000,1393.9044189453125
1564340675.1568651,227000,1359.7392578125
1564340688.552625,228000,1366.039306640625
1564340715.4377732,230000,1398.0145263671875
1564340728.9192674,231000,1450.9296875
1564340755.7869499,233000,1409.93310546875
1564340769.3031924,234000,1401.9930419921875
1564340782.6618862,235000,1408.054931640625
1564340822.9073792,238000,1395.69775390625
1564340862.909828,241000,1396.782470703125
1564340930.1470592,246000,1368.6727294921875
1564340957.0051672,248000,1416.899169921875
1564340983.9207325,250000,1428.2825927734375
1564340997.4012437,251000,1444.870849609375
1564341064.5638769,256000,1408.1136474609375
1564341104.8467135,259000,1454.58544921875
1564341118.436647,260000,1429.75048828125
1564341131.8705719,261000,1446.548583984375
1564341145.4101603,262000,1400.1248779296875
1564341172.3800232,264000,1417.67578125
1564341225.9869082,268000,1488.089599609375
1564341252.9525898,270000,1410.5030517578125
1564341279.7966292,272000,1393.493896484375
1564341306.6994805,274000,1452.0186767578125
1564341374.190399,279000,1439.9244384765625
1564341401.1181648,281000,1463.236572265625
1564341454.8323834,285000,1475.5301513671875
1564341522.443985,290000,1490.01123046875
1564341549.349604,292000,1559.133056640625
1564341562.915655,293000,1527.5980224609375
1564341603.1661565,296000,1570.0340576171875
1564341630.0064552,298000,1502.0889892578125
1564341643.43596,299000,1622.854736328125
1564341656.8372357,300000,1591.7850341796875
1564341683.9455442,302000,1540.739013671875
1564341697.3485339,303000,1578.0677490234375
1564341710.822968,304000,1513.0352783203125
1564341764.6260028,308000,1574.6099853515625
1564341777.9864268,309000,1250.2305908203125
1564341804.7968028,311000,1482.41796875
1564341845.2352116,314000,1519.1083984375
1564341899.2156098,318000,1621.41064453125
1564341912.7059634,319000,1612.375
1564341926.2429433,320000,1516.9825439453125
1564341939.6277354,321000,1530.3856201171875
1564341966.5554178,323000,1596.778076171875
1564342006.8966553,326000,1620.7362060546875
1564342020.2398815,327000,1588.635986328125
1564342033.6427581,328000,1663.4405517578125
1564342074.1224954,331000,1601.747802734375
1564342087.586057,332000,1577.803955078125
1564342114.339407,334000,1592.44873046875
1564342194.9724116,340000,1590.009521484375
1564342221.9551687,342000,1622.6026611328125
1564342262.5589545,345000,1671.29833984375
1564342275.973397,346000,1699.6160888671875
1564342302.9909554,348000,1577.4202880859375
1564342316.4426005,349000,1638.7979736328125
