Wall time,Step,Value
1573787309.808685,4000,-79.63642883300781
1573787317.5367186,6000,-52.70505905151367
1573787323.2307649,7000,-17.272533416748047
1573787334.5955803,9000,-36.64728546142578
1573787345.8276293,11000,-56.48900604248047
1573787351.4606907,12000,-89.18085479736328
1573787357.0597196,13000,-89.52108001708984
1573787362.638943,14000,-35.83955001831055
1573787368.372396,15000,-74.76345825195312
1573787374.0110612,16000,-146.85052490234375
1573787379.714308,17000,-35.46642303466797
1573787385.3359451,18000,-60.781585693359375
1573787390.9711797,19000,-68.2265625
1573787396.5959494,20000,-93.3763427734375
1573787403.8206124,21000,-1285.8641357421875
1573787418.1179788,23000,-1041.778076171875
1573787432.4062595,25000,-109.98322296142578
1573787439.5466938,26000,328.7790832519531
1573787475.3446314,31000,0.8114286661148071
1573787482.4901273,32000,-258.8804931640625
1573787489.6336505,33000,191.92979431152344
1573787496.8036578,34000,328.9297180175781
1573787503.9828775,35000,444.7568359375
1573787518.2716565,37000,685.8992919921875
1573787539.7082443,40000,603.4174194335938
1573787546.858566,41000,690.5858764648438
1573787561.1775997,43000,714.5235595703125
1573787568.3176417,44000,716.8296508789062
1573787575.4440696,45000,679.2511596679688
1573787582.5766523,46000,796.5333251953125
1573787596.958023,48000,778.5775756835938
1573787611.321642,50000,851.5396728515625
1573787618.4357061,51000,933.3391723632812
1573787639.7459993,54000,909.0357666015625
1573787646.8732903,55000,858.0999755859375
1573787654.0625265,56000,907.3042602539062
1573787661.2355673,57000,889.8085327148438
1573787668.3965297,58000,944.0509643554688
1573787689.7032745,61000,970.6676635742188
1573787696.7689211,62000,1071.6624755859375
1573787710.9988198,64000,1029.9490966796875
1573787718.1561503,65000,1130.4652099609375
1573787725.2928078,66000,1075.4732666015625
1573787732.4340198,67000,1000.811279296875
1573787739.5061154,68000,1079.1668701171875
1573787746.643419,69000,982.183349609375
1573787753.6803455,70000,964.6555786132812
1573787767.8312926,72000,1006.6879272460938
1573787774.9689436,73000,1060.4783935546875
1573787782.1614397,74000,1004.0299072265625
1573787789.2565207,75000,1007.3261108398438
1573787803.5178068,77000,1144.4697265625
1573787817.660867,79000,968.53076171875
1573787824.7314231,80000,1043.150634765625
1573787838.96325,82000,971.1197509765625
1573787846.1081927,83000,995.7391967773438
1573787860.306514,85000,1131.0615234375
1573787867.4367034,86000,948.2202758789062
1573787874.4805698,87000,1039.82177734375
1573787881.525555,88000,1076.36767578125
1573787888.5217006,89000,1020.2984619140625
1573787895.4264698,90000,1112.9779052734375
1573787909.3874733,92000,1033.1502685546875
1573787916.4412434,93000,1154.1910400390625
1573787923.4916515,94000,960.3528442382812
1573787930.4816012,95000,1062.917724609375
1573787965.675922,100000,1113.81689453125
1573787972.7670605,101000,1259.57568359375
1573787987.0105166,103000,1045.0311279296875
1573788001.0997286,105000,1036.4129638671875
1573788008.1948378,106000,1328.71533203125
1573788015.2374213,107000,1392.233642578125
1573788036.4382389,110000,1309.99609375
1573788064.828249,114000,1411.7027587890625
1573788086.1690319,117000,1507.432373046875
1573788100.3994818,119000,1553.8248291015625
1573788107.48787,120000,1606.7327880859375
1573788114.5783777,121000,1501.927734375
1573788143.1373513,125000,1509.09228515625
1573788150.2766774,126000,1427.5855712890625
1573788157.4483783,127000,1499.27294921875
1573788164.6332104,128000,1504.2679443359375
1573788178.8928585,130000,1673.3721923828125
1573788186.066408,131000,1607.381591796875
1573788207.6055913,134000,1732.2637939453125
1573788229.0304034,137000,1254.1309814453125
1573788236.151708,138000,1691.2060546875
1573788250.4845204,140000,1804.066650390625
1573788264.8145456,142000,1726.847900390625
1573788271.928071,143000,1708.1610107421875
1573788279.063046,144000,1621.0552978515625
1573788286.2174418,145000,1711.0233154296875
1573788293.3590343,146000,1746.354248046875
1573788300.4868116,147000,1710.208740234375
1573788314.7806027,149000,1765.19580078125
1573788321.8934753,150000,1596.616943359375
1573788329.005057,151000,1465.55859375
1573788336.1561646,152000,1525.0714111328125
1573788350.4887834,154000,1861.7386474609375
1573788357.615409,155000,1508.7042236328125
1573788364.7724018,156000,1744.9542236328125
1573788379.0223527,158000,1755.5555419921875
1573788386.162522,159000,1853.5714111328125
1573788393.3035724,160000,1318.03759765625
1573788407.576005,162000,1792.405517578125
1573788414.6981418,163000,1857.64892578125
1573788428.9592986,165000,1949.8927001953125
1573788436.0843127,166000,1931.57958984375
1573788450.3210812,168000,1949.7396240234375
1573788457.457712,169000,1907.66650390625
1573788464.6061575,170000,1883.3790283203125
1573788478.8468516,172000,1955.5965576171875
1573788507.3691053,176000,1800.6865234375
1573788514.5070298,177000,1833.7247314453125
1573788521.589649,178000,1881.799560546875
1573788528.7405212,179000,1911.273681640625
1573788543.002826,181000,1885.3731689453125
1573788550.122314,182000,2061.3505859375
1573788564.3639657,184000,1908.8212890625
1573788578.69883,186000,1943.095703125
1573788585.8622646,187000,1911.6273193359375
1573788592.988802,188000,1961.9986572265625
1573788600.1528375,189000,1981.64453125
1573788614.4464107,191000,1849.1705322265625
1573788621.6030312,192000,2029.3955078125
1573788671.7863593,199000,2217.31982421875
1573788700.3827045,203000,2417.300537109375
1573788721.7806947,206000,2656.21337890625
1573788728.9542522,207000,2556.818115234375
1573788736.0800333,208000,1997.3868408203125
1573788743.2366366,209000,2688.3193359375
1573788771.8271837,213000,2536.45166015625
1573788778.956082,214000,2580.557373046875
1573788786.0839903,215000,2675.9443359375
1573788793.2096448,216000,2433.02392578125
1573788814.677308,219000,2445.8427734375
1573788821.8418672,220000,2360.468505859375
1573788828.9690583,221000,2426.28662109375
1573788836.076799,222000,2890.73974609375
1573788843.2171192,223000,2742.833740234375
1573788850.3435285,224000,2788.797119140625
1573788864.5904794,226000,2725.90673828125
1573788871.7148583,227000,2893.739990234375
1573788878.9444222,228000,2901.914306640625
1573788893.1774259,230000,2909.355224609375
1573788900.305716,231000,2451.941650390625
1573788907.4454398,232000,2792.390869140625
1573788914.6158857,233000,2783.43359375
1573788921.7383854,234000,2846.813232421875
1573788928.884238,235000,2731.9296875
1573788950.3327813,238000,2907.00830078125
1573788957.483212,239000,3047.821044921875
1573788971.757201,241000,2930.068603515625
1573789000.3183272,245000,2859.1279296875
1573789007.4378319,246000,2739.4814453125
1573789021.7068799,248000,2807.37451171875
1573789028.8589473,249000,2726.016357421875
1573789035.9883366,250000,2995.247802734375
1573789043.12593,251000,3020.543701171875
1573789050.2320848,252000,2939.03515625
1573789057.381775,253000,2887.56005859375
1573789078.7799983,256000,3010.3818359375
1573789100.2343426,259000,3155.81298828125
1573789107.3905196,260000,3120.903076171875
1573789114.5331788,261000,3016.587646484375
1573789121.7140093,262000,3291.57763671875
1573789135.9903164,264000,3193.145751953125
1573789164.5301638,268000,3491.79150390625
1573789178.819137,270000,3134.8876953125
1573789193.0444248,272000,3305.150390625
1573789200.2043343,273000,3397.541015625
1573789207.3579164,274000,3430.296142578125
1573789214.5583754,275000,3382.696533203125
1573789221.7293751,276000,3334.59765625
1573789236.0240924,278000,3362.703369140625
1573789243.1815097,279000,3457.659423828125
1573789257.490873,281000,3131.70068359375
1573789271.796005,283000,3337.872314453125
1573789286.2530296,285000,3347.59375
1573789321.9127731,290000,3558.073974609375
1573789336.240466,292000,3106.364013671875
1573789343.3667586,293000,3396.160888671875
1573789357.6386333,295000,3477.8125
1573789364.7729127,296000,3453.79345703125
1573789371.8878276,297000,3583.058837890625
1573789379.0218363,298000,3523.006103515625
1573789386.1571364,299000,3565.891357421875
