Wall time,Step,Value
1557555150.4346085,6000,-637.897216796875
1557555151.4606888,7000,-652.7137451171875
1557555162.8620224,11000,-492.14373779296875
1557555171.9826372,12000,-543.191162109375
1557555193.091818,14000,-545.57763671875
1557555204.4784296,15000,-548.0205078125
1557555215.934072,16000,-545.1368408203125
1557555238.8752904,18000,-549.7919311523438
1557555250.430652,19000,-548.201416015625
1557555261.8042972,20000,-644.3067626953125
1557555273.2925048,21000,-537.19189453125
1557555318.9389858,25000,-557.7267456054688
1557555422.140588,34000,-430.9293518066406
1557555433.6551535,35000,-583.5665283203125
1557555456.534601,37000,36.26253890991211
1557555490.8740034,40000,-113.87574005126953
1557555502.2781332,41000,8.99307918548584
1557555525.1740253,43000,-220.6053009033203
1557555548.6310427,45000,-807.60205078125
1557555560.401042,46000,-563.925537109375
1557555584.6365354,48000,-368.72882080078125
1557555608.7270348,50000,-637.4965209960938
1557555620.7531955,51000,-518.9047241210938
1557555656.9081845,54000,-417.40972900390625
1557555669.0433877,55000,-561.4912719726562
1557555681.0347722,56000,-544.013671875
1557555693.1046202,57000,-476.41583251953125
1557555705.2879784,58000,-512.5244750976562
1557555741.5185387,61000,-508.9269714355469
1557555753.5670633,62000,-348.53778076171875
1557555777.8160539,64000,-469.1266784667969
1557555801.8046372,66000,69.99903106689453
1557555813.840101,67000,-70.072021484375
1557555825.8881767,68000,-617.2289428710938
1557555837.9745874,69000,-361.12823486328125
1557555874.2402904,72000,-167.3190155029297
1557555886.335487,73000,-147.5069122314453
1557555898.435885,74000,-599.2564697265625
1557555910.4113846,75000,-590.7978515625
1557555934.6139157,77000,-522.868896484375
1557555970.6413307,80000,-649.25390625
1557556030.7180388,85000,-458.2785339355469
1557556042.7545872,86000,-732.644775390625
1557556054.8187685,87000,-656.30126953125
1557556066.8491533,88000,-532.7351684570312
1557556078.9953055,89000,-700.0799560546875
1557556091.079218,90000,-623.49658203125
1557556151.2487075,95000,-758.252197265625
1557556247.6896956,103000,-644.5225830078125
1557556283.7757735,106000,-313.1810302734375
1557556295.750603,107000,-482.76837158203125
1557556379.9679732,114000,-6.898756980895996
1557556416.0882113,117000,-680.867431640625
1557556440.1608381,119000,-583.172607421875
1557556452.1184692,120000,-651.880126953125
1557556464.3987918,121000,-655.51904296875
1557556512.7918572,125000,-674.8502197265625
1557556524.8369994,126000,-539.1630859375
1557556536.898967,127000,-542.4856567382812
1557556573.2377563,130000,-554.7744750976562
1557556585.3395796,131000,-553.86572265625
1557556621.7834918,134000,-543.27099609375
1557556670.4077451,138000,-555.45166015625
1557556694.5865614,140000,-549.1834716796875
1557556718.7568555,142000,-547.6829833984375
1557556730.8960755,143000,-550.4091796875
1557556743.1128771,144000,-553.9970092773438
1557556755.3800194,145000,-546.7830200195312
1557556804.1735182,149000,-553.3460693359375
1557556828.5452712,151000,-553.3173828125
1557556864.954588,154000,-553.9360961914062
1557556877.10606,155000,-551.9879150390625
1557556889.3351982,156000,-549.0065307617188
1557556914.549373,158000,-546.3164672851562
1557556927.3923607,159000,-553.2633666992188
1557556939.9817345,160000,-553.033447265625
1557556977.5409718,163000,-554.3681640625
1557557002.810956,165000,-553.1069946289062
1557557015.443842,166000,-548.8848876953125
1557557040.7716484,168000,-554.5938110351562
1557557053.301674,169000,-552.2928466796875
1557557090.65627,172000,-549.8231811523438
1557557153.426958,177000,-572.2299194335938
1557557165.8252068,178000,-667.9285278320312
1557557178.4040077,179000,-585.86767578125
1557557203.4887333,181000,-468.69403076171875
1557557215.8936763,182000,-704.615478515625
1557557240.9243705,184000,-628.4921264648438
1557557265.8426974,186000,-489.8214111328125
1557557278.2732847,187000,-539.76904296875
1557557290.7664077,188000,-517.2965087890625
1557557303.3835115,189000,-556.9517211914062
1557557328.5839553,191000,-555.6958618164062
1557557341.1915445,192000,-396.8446960449219
1557557428.6292043,199000,-368.89569091796875
1557557478.8959785,203000,-393.5934753417969
1557557528.6971788,207000,-783.6871337890625
1557557541.2488801,208000,-663.1858520507812
1557557553.735269,209000,-746.0675659179688
1557557603.8125231,213000,-866.6806640625
1557557641.233495,216000,-544.2022094726562
1557557678.6438773,219000,-470.70611572265625
1557557691.0397637,220000,-461.4044189453125
1557557728.783329,223000,-527.3096923828125
1557557741.2545862,224000,-522.8324584960938
1557557766.1719253,226000,-503.5673828125
1557557778.718274,227000,-589.1735229492188
1557557791.1453419,228000,-563.8126220703125
1557557816.0205095,230000,-590.498291015625
1557557828.5747452,231000,-576.4595947265625
1557557853.4676428,233000,-579.278564453125
1557557865.9291258,234000,-537.6914672851562
1557557878.3943863,235000,-565.0950317382812
1557557915.8532243,238000,-599.2449340820312
1557557953.7528727,241000,-593.2544555664062
1557558016.4124641,246000,-489.54449462890625
1557558041.1404953,248000,-603.0419311523438
1557558066.3076532,250000,-741.07275390625
1557558078.7592351,251000,-1124.6180419921875
1557558141.332897,256000,-898.69873046875
1557558178.8994377,259000,-621.90576171875
1557558191.6171448,260000,-783.5862426757812
1557558204.0972407,261000,-653.9723510742188
1557558216.557326,262000,-743.596435546875
1557558241.4051774,264000,-737.3677368164062
1557558292.0542421,268000,-782.534423828125
1557558317.5629513,270000,-768.0092163085938
1557558342.7838938,272000,-560.9047241210938
1557558367.7895966,274000,-560.345703125
1557558430.3261309,279000,-560.8202514648438
1557558455.9227126,281000,-558.4793701171875
1557558506.1628432,285000,-535.9961547851562
