Wall time,Step,Value
1556150571.5590005,6000,-378.0400085449219
1556150571.9790006,7000,-270.65106201171875
1556150573.8720005,11000,-314.2871398925781
1556150574.3620005,12000,-251.2993927001953
1556150575.3360004,14000,-425.3456115722656
1556150575.8400006,15000,-368.0658874511719
1556150576.3360004,16000,-332.2065734863281
1556150577.2970004,18000,-275.1706848144531
1556150577.7270005,19000,-335.19024658203125
1556150578.2570004,20000,-256.36334228515625
1556150578.6670005,21000,-270.1116638183594
1556150580.5790005,25000,-280.6390075683594
1556150584.9300003,34000,-304.550537109375
1556150585.3900003,35000,-324.2809753417969
1556150586.3600006,37000,-400.8537292480469
1556150587.7800004,40000,-285.3659973144531
1556150588.1900003,41000,-338.7265625
1556150589.1600006,43000,-168.92803955078125
1556150590.1460004,45000,-309.0715026855469
1556150590.7240005,46000,-211.81622314453125
1556150591.6840005,48000,-304.0916442871094
1556150592.6140003,50000,-312.05487060546875
1556150593.0440006,51000,-247.7721710205078
1556150594.4940004,54000,-290.949951171875
1556150594.9640005,55000,-259.4150695800781
1556150595.4440005,56000,-323.7345275878906
1556150595.9240005,57000,-334.4974670410156
1556150596.4040005,58000,-245.88848876953125
1556150597.9380004,61000,-203.26986694335938
1556150598.4520006,62000,-234.35948181152344
1556150599.4120004,64000,-171.63194274902344
1556150600.3720005,66000,-190.45982360839844
1556150600.7920005,67000,-295.4093933105469
1556150601.3220003,68000,-265.5076599121094
1556150601.7520006,69000,-255.2554931640625
1556150603.2220004,72000,-182.9615478515625
1556150603.6520004,73000,-343.8197021484375
1556150604.1420004,74000,-195.00445556640625
1556150604.6020005,75000,-192.2167510986328
1556150605.5820005,77000,-323.370361328125
1556150607.0780003,80000,-391.9807434082031
1556150609.4180005,85000,-185.03749084472656
1556150609.9680004,86000,-279.75628662109375
1556150610.3780005,87000,-313.93170166015625
1556150610.9280005,88000,-363.9675598144531
1556150611.3480005,89000,-319.9158630371094
1556150611.9240005,90000,-229.356689453125
1556150614.3090005,95000,-336.4852294921875
1556150618.1270006,103000,-282.5762939453125
1556150619.5670006,106000,-257.55194091796875
1556150619.9970005,107000,-240.47811889648438
1556150623.4570005,114000,-360.8342590332031
1556150624.8170004,117000,-341.1820373535156
1556150625.7870007,119000,-330.26416015625
1556150626.2670007,120000,-308.068359375
1556150626.7370005,121000,-397.99578857421875
1556150628.7660003,125000,-298.7014465332031
1556150629.2680006,126000,-301.33526611328125
1556150629.7180004,127000,-213.4554443359375
1556150631.2280004,130000,-214.5235137939453
1556150631.6380005,131000,-280.12640380859375
1556150633.1480005,134000,-242.59378051757812
1556150635.0380003,138000,-283.8460998535156
1556150635.9380004,140000,-271.6192932128906
1556150636.9300003,142000,-335.6032409667969
1556150637.4080005,143000,-280.3266296386719
1556150637.9080005,144000,-284.42279052734375
1556150638.3800006,145000,-307.9830627441406
