Wall time,Step,Value
1556728735.2470307,91,-5.299147605895996
1556728735.605118,309,-6.342672348022461
1556728735.74999,405,-6.40897798538208
1556728736.0910614,658,-5.385072231292725
1556728736.131923,691,-5.7174882888793945
1556728736.204533,742,-6.74163293838501
1556728736.3762863,867,-6.284015655517578
1556728736.4498885,916,-7.147742748260498
1556728736.7915633,1160,-6.400376319885254
1556728736.8579783,1209,-6.39312744140625
1556728737.3887506,1537,-7.285502910614014
1556728737.5549202,1663,-5.6426591873168945
1556728737.6337705,1726,-6.23117733001709
1556728738.0976126,2046,-7.328977584838867
1556728738.4867558,2246,-6.454641819000244
1556728738.863422,2498,-5.1897687911987305
1556728738.9493165,2545,-5.8080058097839355
1556728739.1427982,2690,-6.606277942657471
1556728739.3834941,2874,-5.568058490753174
1556728739.499774,2961,-6.166325092315674
1556728739.5696886,2993,-6.657114028930664
1556728739.6795955,3076,-7.5566887855529785
1556728740.6476786,3712,-5.593504905700684
1556728740.7679396,3794,-6.718781471252441
1556728741.092239,4035,-6.589172840118408
1556728741.21828,4126,-7.1147074699401855
1556728741.3447936,4208,-7.211308479309082
1556728741.5181923,4326,-5.010714530944824
1556728741.6410086,4425,-5.1822404861450195
1556728742.113177,4736,-5.881303310394287
1556728742.4971087,4983,-6.225143909454346
1556728742.5406382,5015,-5.964301109313965
1556728742.755116,5150,-6.56186580657959
1556728743.0879142,5353,-6.826630115509033
1556728743.2967892,5513,-5.688087463378906
1556728743.5065358,5644,-6.399789333343506
1556728743.913072,5910,-4.796938896179199
1556728744.000668,5971,-6.626240253448486
1556728745.3365617,6842,-6.341760635375977
1556728745.3660994,6864,-4.6958842277526855
1556728745.8334782,7137,-5.126011371612549
1556728745.8982406,7183,-5.721054553985596
1556728745.9714353,7238,-6.679501056671143
1556728746.3774786,7482,-6.026040077209473
1556728746.4500523,7529,-5.718560695648193
1556728746.4740179,7546,-7.370881080627441
1556728746.681392,7696,-5.860542297363281
1556728747.191926,7978,-5.511444568634033
1556728747.2610633,8013,-5.35988187789917
1556728747.758677,8357,-6.152881622314453
1556728748.237729,8622,-4.503891468048096
1556728748.3386831,8697,-5.162632942199707
1556728748.9992938,9138,-5.165659427642822
1556728749.2422469,9308,-6.475035190582275
1556728749.3868988,9401,-3.6951777935028076
1556728749.5651727,9513,-6.924640655517578
1556728749.58563,9529,-7.446780204772949
1556728749.9735405,9774,-6.475135326385498
1556728750.8075929,10046,-1.4554250240325928
1556728750.9769752,10068,-5.7238945960998535
1556728752.6230276,10282,-6.521495819091797
1556728753.8627765,10440,-12.652249336242676
1556728753.9549468,10453,-12.94494915008545
1556728754.1514442,10477,-13.959504127502441
1556728754.5677166,10513,-14.245101928710938
1556728754.76049,10537,-14.031206130981445
1556728756.1164565,10695,-13.500659942626953
1556728757.0545466,10825,-15.288555145263672
1556728758.1376398,10971,-14.409436225891113
1556728758.6162937,11034,-14.741015434265137
1556728763.990041,11742,70.30609893798828
1556728765.985504,12014,72.91950225830078
1556728768.0043113,12289,70.900634765625
1556728768.5202243,12358,71.26363372802734
1556728772.2168338,12842,71.3107681274414
1556728777.3309324,13515,67.7045669555664
1556728779.4295418,13788,69.94696807861328
1556728781.6273608,14061,73.2967300415039
1556728784.330883,14405,71.22669219970703
1556728786.7267687,14703,69.8801498413086
1556728791.5747771,15331,-25.076812744140625
1556728794.2350473,15701,-40.29764938354492
1556728795.511205,15873,33.493682861328125
1556728796.9408128,16059,12.370444297790527
1556728801.043514,16598,-3.4105141162872314
1556728802.6511738,16825,18.10616111755371
1556728803.339467,16918,1.664793610572815
1556728804.8079283,17135,5.202508449554443
1556728805.7398717,17251,8.430774688720703
1556728807.6955638,17497,3.817965030670166
1556728809.750665,17767,2.310800552368164
1556728812.2365737,18100,4.213275909423828
1556728812.7433927,18158,1.828405737876892
1556728823.0488648,19474,-14.6694974899292
1556728825.4036653,19777,-14.755836486816406
1556728842.3153672,22040,-9.888581275939941
1556728846.6514678,22603,-13.720283508300781
1556728850.4664567,23089,-18.169063568115234
1556728858.7487366,24160,-15.571978569030762
1556728861.285608,24458,-5.116995811462402
1556728864.5192719,24885,0.9409723877906799
1556728865.4617403,25010,-9.40353012084961
1556728868.6823328,25398,-2.717545509338379
1556728869.636509,25518,-6.694511413574219
1556728876.8703096,26438,-6.648089408874512
1556728877.4125195,26503,-4.995102882385254
1556728882.6650014,27171,-8.765691757202148
1556728884.2154355,27369,-12.243099212646484
1556728888.6745057,27956,-8.449265480041504
1556728890.8251545,28213,-9.862922668457031
1556728892.8947918,28482,-21.606107711791992
1556728898.7951803,29224,-76.78060150146484
1556728899.4393444,29317,101.19977569580078
1556728904.4249878,29943,96.81707000732422
1556728905.363463,30032,103.24495697021484
1556728908.1508586,30393,71.82061767578125
1556728917.9988022,31703,73.10765075683594
1556728919.545709,31909,73.58331298828125
1556728925.3589904,32676,111.00465393066406
1556728953.1655607,36164,119.93916320800781
1556728961.660304,37231,123.0210189819336
1556728966.4962082,37812,121.67486572265625
1556728968.7243817,38076,131.03359985351562
1556728969.792395,38212,73.5286865234375
1556728971.9137094,38489,72.42302703857422
1556728975.8912656,39000,75.04183959960938
1556728978.6899066,39364,71.73894500732422
1556728985.7180097,40195,223.44969177246094
1556728988.9473968,40630,69.11277770996094
1556728991.795341,40993,69.01010131835938
1556728997.3175879,41679,67.55775451660156
1556729000.1680205,42024,72.27085876464844
1556729022.888931,44892,181.05288696289062
1556729026.4477682,45353,150.69386291503906
1556729026.969783,45422,70.6567611694336
1556729027.5061564,45491,69.29338073730469
1556729037.4434588,46735,73.4442367553711
1556729044.6855073,47658,69.84574127197266
1556729045.2408268,47733,81.43388366699219
1556729048.2204554,48144,73.09454345703125
1556729051.9572043,48628,69.7084732055664
1556729065.6649723,50436,70.91846466064453
1556729072.243659,51283,69.81815338134766
1556729078.2054727,52085,72.271728515625
1556729079.903191,52291,67.66681671142578
1556729081.6304593,52518,115.17559814453125
1556729093.0801406,53959,67.36016845703125
1556729096.5380232,54372,70.08914184570312
1556729100.4337287,54853,68.19705963134766
1556729104.1836953,55325,71.70174407958984
1556729112.9023125,56428,70.62687683105469
1556729114.7312698,56663,70.50186157226562
1556729120.8380165,57435,71.07701110839844
1556729122.5395925,57640,69.73371887207031
1556729124.5327744,57866,72.07352447509766
1556729125.1039798,57934,71.24439239501953
1556729151.3607867,61282,72.44538116455078
1556729152.9696944,61509,107.63059997558594
1556729154.45728,61715,72.23839569091797
1556729154.9375305,61784,69.74313354492188
1556729169.8048103,63666,109.53665924072266
1556729178.369835,64768,104.33682250976562
1556729179.771615,64953,107.71529388427734
1556729182.995396,65370,102.99044036865234
1556729185.8050842,65724,109.23416900634766
1556729188.5771594,66086,93.7432861328125
1556729202.625614,67820,69.40792083740234
1556729203.1329176,67889,74.04794311523438
1556729209.4626484,68702,82.98826599121094
1556729213.7739577,69263,71.05377197265625
1556729215.9197295,69538,73.03380584716797
1556729217.2055686,69676,68.67149353027344
1556729228.0801697,70927,73.94660949707031
1556729238.90803,71981,73.680908203125
1556729241.8199134,72277,70.94208526611328
1556729260.51685,74003,73.34220123291016
1556729273.0156248,75100,73.3299789428711
1556729274.2693572,75205,138.1990966796875
1556729286.4360766,76341,74.56240844726562
1556729289.7230923,76657,71.18297576904297
1556729302.016939,77782,72.33897399902344
1556729302.7237122,77852,68.40499877929688
1556729312.792693,78789,75.78143310546875
1556729319.6153913,79422,71.41273498535156
1556729323.6287193,79785,70.36262512207031
1556729326.7345674,80127,71.70834350585938
1556729329.228638,80354,70.79640197753906
1556729332.9213145,80696,74.02948760986328
1556729335.1758347,80901,69.16619873046875
1556729344.3123162,81723,76.28543090820312
1556729350.5604832,82270,69.02427673339844
1556729355.6545994,82749,73.52898406982422
1556729360.6486354,83251,69.31809997558594
1556729367.5716088,83882,67.30284118652344
1556729370.9145472,84181,73.67387390136719
1556729372.5838244,84319,73.53707122802734
1556729374.3321426,84460,67.68396759033203
1556729376.6222978,84672,66.82660675048828
1556729381.3767502,85159,69.9959945678711
1556729387.8793485,85794,72.30394744873047
1556729394.9255333,86484,89.47537231445312
1556729397.1090465,86699,88.69052124023438
1556729398.2350774,86807,88.69491577148438
1556729400.0905023,86969,88.27806091308594
1556729403.5698888,87260,89.9354476928711
1556729405.200753,87421,89.11290740966797
1556729405.818581,87478,90.01354217529297
1556729406.3309736,87532,88.92718505859375
1556729417.8073213,88620,87.00324249267578
1556729422.96985,89123,88.73342895507812
1556729426.8587844,89465,88.488037109375
1556729430.4802227,89843,87.51390075683594
1556729431.007609,89897,88.33626556396484
1556729436.2676828,90410,70.83070373535156
1556729441.5652378,90926,70.83973693847656
1556729459.1617556,92601,67.6441650390625
1556729462.106915,92877,68.66218566894531
1556729470.3434207,93653,70.64558410644531
1556729474.0945978,93979,66.62763977050781
1556729482.7513707,94785,70.61329650878906
1556729492.1736534,95682,70.2347183227539
1556729494.3074696,95889,71.43739318847656
1556729498.605138,96302,70.60803985595703
1556729500.17555,96447,83.63927459716797
1556729529.8908014,99143,73.10398864746094
1556729534.315301,99556,68.64083862304688
1556729546.2712798,100748,70.32184600830078
1556729547.6992383,100886,69.15613555908203
1556729553.4199834,101437,70.7851333618164
1556729555.6215591,101641,69.60014343261719
1556729557.6526914,101817,146.40533447265625
1556729571.1394134,103084,70.3707275390625
1556729582.1599433,104160,72.9392318725586
1556729583.518356,104298,72.53004455566406
1556729598.594994,105699,70.53187561035156
1556729601.6017962,105990,72.16645812988281
1556729607.3189237,106548,72.98193359375
1556729619.8134053,107711,71.82772827148438
1556729624.0388758,108121,72.51831817626953
1556729640.9500434,109767,69.5681381225586
1556729651.5660126,110773,181.2711639404297
1556729652.2908208,110844,68.35762023925781
1556729655.5241175,111124,68.95227813720703
1556729656.3524487,111206,96.69152069091797
1556729658.3462868,111377,103.1008071899414
1556729660.0145447,111544,69.56951141357422
1556729664.2849581,111936,82.67017364501953
1556729667.256674,112229,69.29890441894531
1556729673.2649024,112825,69.87113189697266
1556729687.1829698,114216,68.02354431152344
1556729738.4027216,118856,186.9515838623047
1556729744.4000564,119446,252.25595092773438
1556729748.0485175,119808,20.35621452331543
1556729758.1964011,120767,15.73803424835205
1556729778.7496457,122724,65.23309326171875
1556729798.4955554,124530,36.627708435058594
1556729811.1154532,125703,-5.9652910232543945
1556729813.2552912,125895,-3.0790512561798096
1556729815.4637902,126108,26.048049926757812
1556729816.5879052,126212,-1.0143235921859741
1556729822.124732,126712,15.166126251220703
1556729827.5227334,127215,65.48684692382812
1556729838.7385838,128294,-0.5655743479728699
1556729845.012783,128874,-17.380374908447266
1556729865.4376702,130794,30.77384376525879
1556729875.048958,131709,76.19645690917969
1556729881.8019426,132431,27.502046585083008
1556729884.0308104,132654,54.0553092956543
1556729886.6458213,132914,51.92924118041992
1556729891.4340498,133376,41.64375305175781
1556729900.0398803,134243,43.8709831237793
1556729901.7532253,134420,3.1893527507781982
1556729913.9747899,135632,29.252212524414062
1556729918.806294,136109,44.08237838745117
1556729929.434023,137094,31.9005069732666
1556729968.3137233,140622,33.22760009765625
1556729991.3195305,142752,38.730281829833984
1556730001.7118409,143788,21.72711753845215
1556730013.3676865,144861,308.6487121582031
1556730021.5039074,145613,26.814189910888672
1556730052.051441,148381,274.1758728027344
1556730055.1976109,148653,272.4979248046875
1556730124.1851134,154997,226.39425659179688
1556730139.54337,156439,199.39059448242188
1556730167.958451,159075,182.77154541015625
1556730197.9067607,161822,214.19493103027344
1556730199.0206196,161931,150.63235473632812
1556730202.1818926,162224,245.1947784423828
1556730215.8844326,163490,165.5082244873047
1556730221.1068478,163986,157.11610412597656
1556730248.0339828,166456,180.2719268798828
1556730265.5757728,168114,167.9715576171875
1556730279.6011312,169411,213.71304321289062
1556730290.3523858,170473,217.8861846923828
1556730292.5443122,170685,279.98175048828125
1556730295.8909411,171003,219.52182006835938
1556730299.7205076,171351,195.40577697753906
1556730309.0040607,172200,227.32919311523438
1556730374.1646519,178351,284.32855224609375
1556730377.1290362,178618,335.639404296875
1556730396.9557145,180480,241.32371520996094
1556730400.9009068,180836,256.41485595703125
1556730412.159484,181855,241.22232055664062
1556730439.8866878,184398,227.88111877441406
1556730450.7993498,185402,249.98992919921875
1556730469.1436815,187111,276.09185791015625
1556730494.803551,189578,218.74742126464844
1556730500.8908527,190145,184.18942260742188
1556730504.4756124,190491,277.28948974609375
1556730527.9737024,192617,187.8980255126953
1556730550.3556035,194760,263.34222412109375
1556730570.2894747,196677,194.51669311523438
1556730590.0657136,198573,257.5719299316406
1556730602.7006998,199663,209.2628631591797
1556730645.2562892,203714,435.5216064453125
1556730658.5355709,204905,369.745849609375
1556730661.5327013,205176,327.6000671386719
1556730677.5425408,206680,420.4273681640625
1556730689.3661072,207800,246.43638610839844
1556730700.7783496,208900,310.380126953125
1556730709.9479256,209740,132.4582977294922
1556730743.6007898,212957,165.15699768066406
1556730753.1914825,213838,129.78140258789062
1556730759.089572,214374,149.2776336669922
1556730776.4714181,216022,230.38192749023438
1556730786.9246898,217016,258.8277893066406
1556730809.090466,219100,266.56072998046875
1556730827.308579,220759,258.8689880371094
1556730831.0618956,221087,137.03970336914062
1556730851.5246563,223086,204.6504669189453
1556730852.805211,223212,184.40634155273438
1556730856.0025373,223510,245.38706970214844
1556730901.6105628,227848,213.5244140625
1556730902.733849,227974,197.04815673828125
1556730904.021326,228103,200.8363037109375
1556730912.6642067,228986,203.42076110839844
1556730927.3066921,230416,206.58299255371094
1556730950.051766,232558,257.0990905761719
1556730957.1492934,233273,190.7530517578125
1556730995.7099552,236940,254.0801239013672
1556731009.5096152,238210,240.67733764648438
1556731020.7323139,239202,248.4026336669922
1556731031.3332314,240203,249.48233032226562
1556731039.323301,240913,108.28836822509766
1556731045.1138134,241498,104.83692932128906
1556731067.1943533,243530,263.220703125
1556731070.8447542,243872,277.1126708984375
1556731072.467541,244024,234.53512573242188
1556731091.1236475,245807,260.8797912597656
1556731124.1630468,248927,295.1628112792969
1556731158.2214613,252225,252.60923767089844
1556731176.3190534,253864,307.8433532714844
1556731218.8107855,257836,87.38909149169922
1556731228.8983924,258755,53.1920166015625
1556731234.986481,259331,299.5335693359375
1556731239.3929312,259757,398.1851806640625
1556731244.7509203,260267,106.81759643554688
1556731247.2189562,260489,260.80560302734375
1556731265.3906038,262154,58.89930725097656
1556731270.6823628,262670,67.39602661132812
1556731281.0306396,263607,257.75048828125
1556731289.3087313,264375,513.5751953125
1556731343.2454078,269401,186.95069885253906
1556731349.6499724,270030,43.76356887817383
1556731352.4800599,270308,35.193180084228516
1556731371.2974823,272050,37.492610931396484
1556731386.9607809,273491,11.32845401763916
1556731441.2332916,278446,724.6801147460938
1556731473.4153583,281387,276.740234375
1556731475.6148887,281608,358.01953125
1556731490.7227473,283019,278.0378112792969
1556731505.158868,284408,344.32403564453125
1556731514.0287259,285249,359.45281982421875
1556731522.8777695,286043,411.9266052246094
1556731526.4839988,286419,223.3747100830078
1556731560.5348,289682,255.36962890625
1556731606.4342964,293851,402.43609619140625
1556731608.79849,294064,359.4301452636719
1556731625.1333668,295611,429.98248291015625
1556731630.566226,296153,438.89959716796875
