Wall time,Step,Value
1556777531.806534,77,-14.13186264038086
1556777532.201089,239,-13.900847434997559
1556777532.455529,314,-14.397851943969727
1556777532.9860592,511,-12.669365882873535
1556777533.0490458,535,-14.404901504516602
1556777533.1389232,571,-13.595664024353027
1556777533.3883018,672,-13.948617935180664
1556777533.5057874,709,-14.313918113708496
1556777533.9899647,892,-13.458210945129395
1556777534.103065,931,-14.231240272521973
1556777534.8317907,1180,-13.926569938659668
1556777535.0916505,1279,-14.014272689819336
1556777535.2389486,1327,-14.649663925170898
1556777536.0368729,1575,-14.864680290222168
1556777536.4189196,1733,-14.663166999816895
1556777536.8369646,1867,-14.28150463104248
1556777537.001334,1930,-13.71041202545166
1556777537.1032336,1966,-14.48654842376709
1556777537.3926208,2079,-15.165247917175293
1556777537.739324,2216,-14.737300872802734
1556777537.9141848,2278,-14.289379119873047
1556777537.980778,2301,-13.764483451843262
1556777538.0346367,2313,-14.009476661682129
1556777538.1510918,2365,-15.18938159942627
1556777538.4109445,2465,-14.510125160217285
1556777538.73574,2579,-14.53592300415039
1556777538.905298,2639,-13.730700492858887
1556777539.2366915,2773,-13.750144958496094
1556777539.4523902,2846,-14.30026912689209
1556777539.611559,2908,-14.59505558013916
1556777540.174938,3093,-14.36876392364502
1556777540.3362708,3168,-13.594514846801758
1556777540.478243,3230,-14.74103832244873
1556777540.654332,3314,-13.689688682556152
1556777540.759992,3362,-14.73176097869873
1556777540.8395686,3387,-14.038314819335938
1556777541.4511187,3624,-13.542132377624512
1556777541.6200852,3684,-14.180123329162598
1556777541.8165786,3759,-14.194046020507812
1556777541.9725351,3821,-13.142035484313965
1556777542.0329647,3847,-14.370174407958984
1556777542.2689762,3948,-14.650601387023926
1556777542.6085155,4095,-13.917991638183594
1556777542.960737,4206,-13.891003608703613
1556777543.2080286,4307,-14.55405330657959
1556777543.7439864,4508,-14.00930118560791
1556777543.8917897,4556,-14.86047649383545
1556777544.2500885,4677,-14.582626342773438
1556777550.4368777,5228,-14.071609497070312
1556777550.627175,5240,-14.378207206726074
1556777553.8368192,5451,-14.292464256286621
1556777554.210351,5478,-13.154309272766113
1556777554.3735425,5491,-14.876166343688965
1556777554.8562791,5528,-13.95950984954834
1556777557.1582875,5714,-13.989054679870605
1556777557.7028944,5751,-14.25275707244873
1556777557.8561652,5763,-13.328145027160645
1556777559.6370182,5888,-14.874122619628906
1556777562.6984835,6101,-14.357830047607422
1556777563.0912037,6125,-14.690561294555664
1556777566.7427623,6386,-13.931116104125977
1556777567.1511662,6422,-13.676729202270508
1556777568.3094723,6523,-14.922001838684082
1556777569.153985,6597,-14.139568328857422
1556777569.4227316,6621,-13.715493202209473
1556777569.8658154,6659,-14.410853385925293
1556777570.7129579,6732,-13.667804718017578
1556777571.374322,6793,-14.01921272277832
1556777572.8101513,6915,-13.317919731140137
1556777573.8264802,6989,-14.173162460327148
1556777575.285546,7113,-14.12540054321289
1556777576.39219,7189,-13.643033981323242
1556777576.725777,7213,-13.175393104553223
1556777577.4816878,7277,-14.65412425994873
1556777577.6164339,7289,-13.740026473999023
1556777579.881579,7474,-14.430999755859375
1556777582.5551727,7701,-13.983349800109863
1556777582.8471382,7725,-14.414261817932129
1556777584.6911955,7872,-14.568774223327637
1556777585.5910568,7958,-15.013772010803223
1556777585.734637,7971,-14.158964157104492
1556777586.0437272,7996,-13.543305397033691
1556777586.4423728,8032,-13.570843696594238
1556777586.7198918,8058,-13.951825141906738
1556777588.5548341,8206,-13.726743698120117
1556777589.0154583,8244,-13.689057350158691
1556777589.6515434,8295,-14.48413372039795
1556777590.2243707,8332,-14.746536254882812
1556777590.6970198,8368,-13.670011520385742
1556777592.0647311,8480,-13.931736946105957
1556777592.9228942,8545,-14.744702339172363
1556777596.7399514,8865,-14.194021224975586
1556777597.3824997,8915,-13.23714828491211
1556777597.959038,8963,-13.503684043884277
1556777598.0963376,8976,-14.306262016296387
1556777599.1560407,9063,-14.341501235961914
1556777600.566945,9176,-14.576109886169434
1556777601.1668062,9226,-15.151915550231934
1556777601.7914178,9275,-13.983072280883789
1556777602.5744145,9337,-13.331816673278809
1556777603.1532419,9385,-13.448519706726074
1556777604.4358292,9497,-14.837828636169434
1556777604.95232,9547,-13.970023155212402
1556777605.1241746,9559,-13.786630630493164
1556777605.331913,9570,-13.052872657775879
1556777605.6515894,9595,-14.65151596069336
1556777606.8364048,9685,-15.581268310546875
1556777607.640093,9746,-13.729569435119629
1556777608.0361729,9770,-14.407373428344727
1556777609.0026097,9833,-14.560711860656738
1556777609.4150512,9858,-14.371759414672852
1556777610.1677263,9907,-14.364893913269043
1556777610.8883538,9954,-13.09560489654541
1556777611.9011583,10027,-13.523048400878906
1556777612.1041255,10040,-14.771215438842773
1556777615.9883378,10324,-13.519207954406738
1556777616.5938296,10374,-14.631762504577637
1556777621.675446,10786,-14.975196838378906
1556777622.3783712,10848,-14.97075366973877
1556777622.7480128,10874,-14.594721794128418
1556777623.6466405,10947,-13.454550743103027
1556777624.726483,11047,-13.855280876159668
1556777625.6526463,11121,-14.669854164123535
1556777626.1537373,11169,-13.998867988586426
1556777627.2700627,11259,-14.80229663848877
1556777627.686038,11287,-15.2440185546875
1556777628.6595824,11361,-13.73641300201416
1556777628.9928029,11386,-14.520748138427734
1556777631.6556406,11557,-14.566000938415527
1556777631.8202527,11569,-13.360225677490234
