Wall time,Step,Value
1556777521.7890399,61,-4.959193706512451
1556777522.1696808,194,-4.2887725830078125
1556777522.3109286,253,-5.024505615234375
1556777522.73763,417,-4.118869304656982
1556777522.7788656,438,-4.3978376388549805
1556777522.8634381,467,-4.693373203277588
1556777523.0395021,547,-4.8116350173950195
1556777523.1095486,577,-4.015866756439209
1556777523.4527068,731,-3.033360719680786
1556777523.5127616,761,-4.25869607925415
1556777523.991253,962,-3.135068655014038
1556777524.2165697,1043,-4.824429035186768
1556777524.3268747,1084,-4.294352054595947
1556777524.8106577,1286,-4.204070091247559
1556777525.145931,1417,-4.461528301239014
1556777525.575347,1581,-4.77964448928833
1556777525.6406486,1612,-3.829580545425415
1556777525.844102,1704,-4.090765953063965
1556777526.0969896,1816,-4.583140850067139
1556777526.2379947,1868,-4.601773262023926
1556777526.2866712,1889,-3.9286906719207764
1556777526.4153025,1939,-4.784653186798096
1556777527.3782492,2335,-3.8255345821380615
1556777527.497943,2386,-3.7050538063049316
1556777527.9217079,2536,-3.8659186363220215
1556777528.0674913,2597,-4.929903984069824
1556777528.1905203,2649,-3.8765816688537598
1556777528.3334231,2719,-3.0864858627319336
1556777528.4626706,2779,-4.615367889404297
1556777528.8699262,2973,-4.7124247550964355
1556777529.20268,3133,-4.238410949707031
1556777529.2415242,3153,-4.227662086486816
1556777529.4920893,3235,-4.7102508544921875
1556777529.783543,3356,-5.024978160858154
1556777529.9992456,3449,-4.49228048324585
1556777530.2083018,3532,-3.6995320320129395
1556777530.5688162,3695,-4.368817329406738
1556777530.6603444,3735,-4.953664779663086
1556777532.0595102,4286,-3.994758129119873
1556777532.0812676,4296,-4.543046951293945
1556777532.6091971,4464,-4.4569993019104
1556777532.6801143,4494,-5.038718223571777
1556777532.7568269,4524,-4.0414652824401855
1556777533.1788197,4677,-4.058811664581299
1556777533.247832,4707,-4.616793632507324
1556777533.2728038,4717,-4.552988529205322
1556777533.5800295,4818,-4.003777503967285
1556777534.0212588,4991,-3.896763324737549
1556777536.1845489,5011,-4.4435200691223145
1556777538.4429529,5224,-2.4568519592285156
1556777540.570648,5395,-4.242206573486328
1556777541.3092377,5447,-4.313295841217041
1556777544.3138154,5716,-3.681302070617676
1556777545.7191951,5817,-4.24122428894043
1556777546.6647856,5877,-4.386292457580566
1556777546.9915018,5897,-4.211606025695801
1556777547.7347004,5947,-4.0447540283203125
1556777547.8810294,5957,-3.9380252361297607
1556777550.2852783,6111,-4.80175256729126
1556777552.7969065,6292,-4.572245121002197
1556777553.075888,6312,-4.0962395668029785
1556777554.4875567,6434,-4.392728328704834
1556777555.3774574,6505,-4.1923828125
1556777555.5359397,6516,-3.857330083847046
1556777555.765266,6537,-5.128407955169678
1556777556.1042545,6567,-3.5568690299987793
1556777556.430682,6588,-3.9684743881225586
1556777557.8562222,6711,-4.048371315002441
1556777559.0135028,6812,-3.476729393005371
1556777560.460968,6937,-4.677603721618652
1556777561.0414157,6988,-4.390982627868652
1556777564.197535,7251,-4.597255706787109
1556777564.6559591,7292,-4.214921474456787
1556777565.1929276,7332,-4.5069732666015625
1556777565.296902,7342,-4.443603992462158
1556777566.1947472,7412,-4.401822566986084
1556777567.2541895,7504,-4.7770586013793945
1556777567.7292182,7544,-4.336990833282471
1556777568.2974663,7585,-4.672697067260742
1556777568.8923116,7635,-4.585970878601074
1556777569.3720398,7676,-4.945656776428223
1556777570.343575,7766,-4.473177909851074
1556777570.8604298,7809,-3.962813138961792
1556777571.0935621,7830,-3.592669725418091
1556777571.3049443,7850,-4.749785423278809
1556777572.1293042,7920,-3.6098244190216064
1556777572.685542,7971,-3.6936089992523193
1556777572.9219499,7991,-4.701436519622803
1556777573.5312438,8041,-4.737104415893555
1556777573.7934172,8061,-4.660966873168945
1556777574.3245637,8101,-3.335494041442871
1556777574.766473,8141,-5.171016216278076
1556777575.4766192,8201,-5.603128433227539
1556777575.5890646,8211,-4.420914173126221
1556777578.3067894,8444,-4.8115386962890625
1556777578.9003038,8486,-3.6656241416931152
1556777583.981098,8821,-4.698724269866943
1556777585.062993,8891,-4.516847133636475
1556777586.0724685,8951,-3.821110486984253
1556777588.2512815,9092,-4.470660209655762
1556777588.7886689,9133,-4.568493843078613
1556777589.6360662,9204,-4.533497333526611
1556777589.876784,9225,-3.976870059967041
1556777590.635596,9285,-4.1309494972229
1556777590.8687036,9305,-3.711822509765625
1556777592.981235,9450,-3.6423184871673584
1556777593.1135006,9461,-3.6248083114624023
1556777594.5021813,9561,-4.242612838745117
1556777594.9693305,9592,-4.676864147186279
1556777596.2553003,9682,-3.888855457305908
1556777596.795055,9723,-3.8240461349487305
1556777597.4719644,9764,-5.00024938583374
1556777598.8175912,9855,-3.7089626789093018
1556777599.0224564,9865,-4.583797931671143
1556777599.9085057,9926,-4.25123405456543
1556777600.050317,9936,-4.284756660461426
1556777600.8346367,9986,-4.472262859344482
1556777602.7306466,10105,-4.433426380157471
1556777603.5959008,10166,-3.6793506145477295
1556777604.0811052,10197,-3.7163586616516113
1556777605.4715567,10290,-3.678828716278076
1556777610.0440173,10593,-3.733560800552368
1556777612.0222225,10725,-3.0831024646759033
1556777612.97377,10786,-3.938185214996338
1556777613.5149446,10817,-3.887838125228882
1556777613.831658,10837,-4.630990982055664
1556777614.4560635,10879,-4.51256799697876
1556777615.3911831,10938,-4.254951000213623
1556777616.1092222,10988,-4.124759674072266
1556777617.5721815,11090,-5.091287136077881
1556777618.3510485,11150,-4.1151604652404785
1556777618.9091167,11200,-3.387803792953491
1556777620.3308232,11301,-4.7310943603515625
1556777621.1148915,11351,-4.286442756652832
1556777626.970411,11724,-5.223134517669678
1556777627.4367485,11763,-4.247426986694336
1556777627.544956,11773,-3.9456710815429688
1556777627.6950858,11783,-4.741199493408203
1556777630.2037964,11963,-3.7576074600219727
1556777631.5644813,12084,-3.508714199066162
1556777631.6683142,12094,-3.5628833770751953
1556777632.3591335,12155,-3.8838605880737305
1556777633.2329607,12226,-4.027923107147217
1556777637.014836,12489,-4.814289093017578
1556777638.6566982,12610,-5.401973247528076
1556777640.4284124,12722,-4.268383026123047
1556777640.8931274,12751,-5.221127986907959
1556777641.3226373,12781,-4.674500942230225
1556777644.1129267,12982,-4.440978050231934
1556777645.091072,13043,-4.8551926612854
1556777646.0575209,13115,-3.7383029460906982
1556777646.8899436,13175,-4.002625942230225
1556777649.2158663,13338,-3.6389527320861816
1556777649.5166934,13368,-4.699450969696045
1556777651.190665,13481,-3.9223296642303467
1556777651.6112537,13512,-3.8589420318603516
1556777652.0679462,13544,-4.595996379852295
1556777652.2204041,13554,-3.606703758239746
1556777659.0177898,14044,-3.1375374794006348
1556777659.4754095,14075,-4.674827575683594
1556777659.946473,14106,-4.953110694885254
1556777660.0959613,14116,-4.583779335021973
1556777663.4826171,14339,-4.458024024963379
1556777665.3372014,14460,-3.480538845062256
1556777665.6256547,14480,-4.1808180809021
1556777666.2556858,14520,-4.57351541519165
1556777666.8525538,14561,-3.899806499481201
1556777667.4745905,14601,-4.223537921905518
1556777670.9495833,14856,-4.1229472160339355
1556777671.1480236,14867,-3.886540412902832
1556777672.6927102,14979,-3.504180908203125
1556777673.9250724,15060,-4.389823913574219
1556777674.553836,15101,-3.529688596725464
1556777674.8810954,15121,-4.4713239669799805
1556777677.4860604,15293,-4.0238447189331055
1556777679.8359833,15447,-5.008235454559326
1556777680.511505,15487,-4.4398345947265625
1556777684.1476398,15740,-3.9020206928253174
1556777686.0900748,15903,-3.9114840030670166
1556777686.2107997,15914,-3.1356711387634277
1556777688.197504,16067,-4.0769243240356445
1556777688.8192344,16107,-4.14625883102417
1556777691.3064392,16268,-3.8310632705688477
1556777691.459767,16278,-4.48543643951416
1556777693.453409,16410,-4.740339756011963
1556777694.4846318,16500,-4.655791759490967
1556777695.0346198,16551,-3.2999355792999268
1556777695.6436083,16601,-4.862929344177246
1556777696.0306466,16632,-5.081040382385254
1556777696.7455602,16682,-5.265099048614502
1556777697.1816435,16712,-4.773387432098389
1556777699.0999246,16833,-3.9014675617218018
1556777700.3529527,16915,-3.8671810626983643
1556777701.4420252,16986,-4.5680341720581055
1556777702.6349297,17057,-4.016073703765869
1556777703.7392662,17147,-4.798192977905273
1556777704.2286892,17188,-3.187472343444824
1556777704.3333685,17198,-4.34893274307251
1556777704.4577746,17208,-3.9444427490234375
1556777704.6648803,17228,-3.775433301925659
1556777705.0177984,17258,-3.8621678352355957
1556777705.8249757,17329,-3.533010959625244
1556777706.9231277,17420,-3.8581149578094482
1556777708.248031,17521,-4.267633438110352
