Wall time,Step,Value
1557633517.751302,140,-5.627195358276367
1557633518.1082828,314,-5.773420810699463
1557633518.1443279,336,-6.476780414581299
1557633518.448835,520,-6.692028522491455
1557633518.741275,687,-6.344139099121094
1557633519.5010996,1150,-6.971872329711914
1557633519.6056373,1214,-6.509303569793701
1557633520.3426962,1663,-6.421131134033203
1557633520.400288,1698,-5.200248718261719
1557633520.6470356,1849,-6.491286277770996
1557633520.8573663,1982,-6.8885369300842285
1557633521.273856,2237,-5.829594612121582
1557633521.2973258,2251,-6.31946325302124
1557633521.387668,2307,-5.4827656745910645
1557633521.9816132,2659,-6.703790187835693
1557633522.628574,3048,-6.597777843475342
1557633523.103202,3329,-6.20948600769043
1557633523.2703047,3427,-6.261959552764893
1557633524.0069704,3880,-6.487678050994873
1557633524.337453,4071,-6.55903434753418
1557633524.5422852,4188,-6.630512237548828
1557633524.6276362,4239,-6.29910945892334
1557633524.6393127,4246,-6.373653888702393
1557633525.2410982,4588,-5.951536178588867
1557633525.401351,4684,-5.752514362335205
1557633525.5709965,4784,-5.406771659851074
1557633525.6928635,4857,-7.014387607574463
1557633526.217653,5165,-6.335056304931641
1557633526.3133912,5222,-6.357769966125488
1557633526.839134,5537,-6.652617931365967
1557633526.910309,5580,-5.597072601318359
1557633527.0771933,5681,-6.482676982879639
1557633527.104931,5696,-6.197391986846924
1557633527.2842882,5805,-6.4210028648376465
1557633527.3494232,5847,-6.417607307434082
1557633527.6878133,6053,-6.66891622543335
1557633529.082124,6841,-5.625205993652344
1557633529.4196985,7029,-6.300415515899658
1557633529.4345639,7036,-6.677422523498535
1557633529.5103252,7079,-5.800014972686768
1557633529.8136363,7255,-6.3881731033325195
1557633529.8554869,7277,-6.612708568572998
1557633529.9690855,7343,-6.276773452758789
1557633530.5828707,7702,-6.26293420791626
1557633530.6189926,7723,-5.741385459899902
1557633530.95649,7916,-6.0496673583984375
1557633531.0277426,7960,-6.2030463218688965
1557633531.0861712,7995,-6.320097923278809
1557633531.7215948,8369,-6.549593925476074
1557633531.7823026,8404,-5.979031562805176
1557633531.7964714,8411,-6.222817897796631
1557633532.0173311,8542,-6.634321212768555
1557633532.802144,9009,-7.262158393859863
1557633533.0126271,9134,-5.865782260894775
1557633533.748824,9534,-6.256964206695557
1557633533.8008144,9555,-5.797024250030518
1557633533.988852,9659,-6.545872688293457
1557633534.0386052,9690,-6.22804594039917
1557633535.3906312,10054,-17.719337463378906
1557633536.6344233,10157,-14.94962215423584
1557633539.024794,10351,-8.007952690124512
1557633539.924762,10423,-8.067252159118652
1557633540.6966166,10483,-8.049513816833496
1557633543.110985,10663,-7.230572700500488
1557633543.932417,10729,-7.666853427886963
1557633544.9308329,10813,-7.456406593322754
1557633547.2683282,11005,-7.823395252227783
1557633549.4868138,11179,-7.854405879974365
1557633550.6600053,11275,-7.923048973083496
1557633551.8319418,11371,-7.902849197387695
1557633552.1403182,11395,-7.7490386962890625
1557633553.4363,11497,-8.071818351745605
1557633556.0706406,11707,-7.912693023681641
1557633559.9864733,12013,-5.880543231964111
1557633561.3788304,12121,-6.067750453948975
1557633562.0251262,12175,-5.998857021331787
1557633563.6504614,12309,-10.109217643737793
1557633563.9330978,12333,-10.539052963256836
1557633564.3569233,12369,-9.979996681213379
1557633573.3942895,13079,-10.812906265258789
1557633581.0085087,13659,-16.9785213470459
1557633583.8078701,13875,-16.792327880859375
1557633585.1714687,13983,-16.551294326782227
1557633587.4704669,14155,-8.060675621032715
1557633588.1795855,14209,-8.424188613891602
1557633590.2320917,14365,-1.7824475765228271
1557633611.3542848,16042,-9.26380729675293
1557633624.6195936,17099,-4.444678783416748
