Wall time,Step,Value
1556808642.200528,205,1.0229721069335938
1556808643.1640913,792,-2.5080535411834717
1556808643.5322604,1013,-2.4467005729675293
1556808644.7447639,1666,-38.335445404052734
1556808644.9188137,1753,-4.340500354766846
1556808645.1018708,1856,-3.8250083923339844
1556808645.722684,2247,-21.2087345123291
1556808645.9391272,2369,-8.660826683044434
1556808646.9821348,2917,-3.965000867843628
1556808647.1419458,3018,-1.6802897453308105
1556808648.4744987,3777,-6.422084331512451
1556808648.933053,4017,-7.577754974365234
1556808649.1553202,4132,-3.073763370513916
1556808650.3051367,4731,-5.710615634918213
1556808653.4170144,5152,-5.142436981201172
1556808658.0032814,5758,-3.240114212036133
1556808659.192711,5910,-11.775283813476562
1556808661.9351692,6267,-4.399922847747803
1556808665.3958411,6702,-2.6808407306671143
1556808667.0716016,6885,-9.959528923034668
1556808667.575111,6934,-1.3372260332107544
1556808669.4925985,7166,-11.138422012329102
1556808675.3415475,7802,-3.0996947288513184
1556808683.1609795,8630,-6.465366363525391
1556808685.0300333,8817,-3.934588670730591
1556808690.0745916,9312,-3.815845012664795
1556808692.1029384,9509,-6.723705291748047
1556808693.517546,9651,-3.4102182388305664
1556808695.7104118,9871,-14.87833309173584
1556808698.4555438,10115,-5.239760398864746
1556808708.3960474,10941,-10.530740737915039
1556808714.7258584,11479,-3.5859596729278564
1556808716.0136042,11602,-16.67037582397461
1556808719.1183226,11910,-6.162160396575928
1556808723.8028955,12321,-1.8978184461593628
1556808727.8603096,12689,-5.1121110916137695
1556808731.3289986,12963,-10.52171516418457
1556808738.3759878,13510,-11.740057945251465
1556808740.0474553,13638,-4.750154495239258
1556808761.997298,15569,-4.0022783279418945
1556808762.361409,15598,-0.5238163471221924
1556808769.696985,16207,4.392989635467529
1556808771.8132079,16372,-8.389512062072754
1556808773.072816,16490,-4.352094650268555
1556808779.37467,16984,-2.495389223098755
1556808780.540097,17092,-4.703472137451172
1556808780.8081014,17120,-8.243531227111816
1556808785.6602325,17484,-4.198248386383057
1556808794.6216936,18151,-17.860876083374023
1556808795.532559,18216,-18.818105697631836
1556808805.7272696,19002,-3.037177562713623
1556808816.2538679,19740,-9.646504402160645
1556808818.813712,19927,-6.615655899047852
1556808821.8622699,20164,-6.186377048492432
1556808823.0665166,20224,-6.019240856170654
1556808823.7629268,20260,-6.470091342926025
1556808823.9718122,20272,-6.797128200531006
1556808824.5916924,20302,-6.644729137420654
1556808824.6931849,20308,-6.70706844329834
1556808826.923615,20425,-9.162566184997559
1556808829.4969573,20571,-8.61235237121582
1556808829.8349767,20587,-8.468847274780273
1556808831.5379386,20683,-8.89030933380127
1556808832.319318,20737,-8.814779281616211
1556808832.427997,20745,-8.705248832702637
1556808832.6095526,20759,-7.8693156242370605
1556808833.0748224,20781,-7.730510234832764
1556808833.3735197,20795,-7.380607604980469
1556808834.8600469,20879,-2.7821948528289795
1556808835.8286471,20947,-2.851785182952881
1556808837.3196614,21043,-4.476624011993408
1556808837.9101303,21083,-3.771815538406372
1556808841.1715226,21297,-1.7736700773239136
1556808841.6906157,21334,-3.6873810291290283
1556808842.4016008,21373,-4.040344715118408
1556808842.5994585,21382,-4.518563270568848
1556808843.606605,21447,-3.7022593021392822
