Wall time,Step,Value
1557035987.5223885,6000,-230.69309997558594
1557035989.4482555,7000,-374.99713134765625
1557036002.8609838,11000,-432.5847473144531
1557036011.6639872,12000,-306.2326354980469
1557036030.448313,14000,-338.044921875
1557036040.1576588,15000,-382.2861022949219
1557036050.3232307,16000,-232.74331665039062
1557036070.8208249,18000,-652.8019409179688
1557036081.171188,19000,-465.7122497558594
1557036091.519525,20000,-189.22007751464844
1557036101.788181,21000,-381.5331115722656
1557036143.4056528,25000,-583.322021484375
1557036236.7658527,34000,-272.97943115234375
1557036247.216994,35000,-293.4113464355469
1557036267.797806,37000,-402.9620666503906
1557036298.5271907,40000,-303.4559326171875
1557036308.464599,41000,-263.7016296386719
1557036328.760831,43000,-258.4919128417969
1557036349.7406075,45000,-293.67022705078125
1557036359.9939356,46000,-291.38299560546875
1557036381.4324858,48000,-300.8912658691406
1557036402.331954,50000,-245.5058135986328
1557036412.475129,51000,-244.22271728515625
1557036444.0567474,54000,-74.93711853027344
1557036454.8347876,55000,-190.7841339111328
1557036465.003801,56000,-476.12799072265625
1557036475.3601632,57000,-59.590240478515625
1557036486.0041766,58000,-395.7186279296875
1557036517.4284313,61000,-364.3324890136719
1557036528.1610217,62000,-18.242164611816406
1557036548.2300131,64000,11.936162948608398
1557036569.0763917,66000,-23.796424865722656
1557036579.2972429,67000,52.98337173461914
1557036589.974057,68000,-82.88261413574219
1557036600.4413323,69000,-113.1702651977539
1557036632.0915172,72000,-95.31346893310547
1557036642.5332742,73000,-36.1259880065918
1557036653.2219157,74000,-77.9348373413086
1557036664.051999,75000,-140.85157775878906
1557036684.7694163,77000,-79.03392028808594
1557036716.2957642,80000,-111.67866516113281
1557036768.7627609,85000,-103.71808624267578
1557036778.9375293,86000,-92.02506256103516
1557036789.1458325,87000,-58.71925735473633
1557036799.500066,88000,13.749470710754395
1557036809.8891187,89000,-120.98332214355469
1557036820.2066607,90000,-21.37441062927246
1557036872.461665,95000,2.9604203701019287
1557036955.1654906,103000,90.9208984375
1557036986.0492887,106000,123.15151977539062
1557036996.558593,107000,-73.84349060058594
1557037069.5802665,114000,234.0613555908203
1557037100.7603579,117000,335.5096130371094
1557037121.892319,119000,400.42822265625
1557037132.5373442,120000,265.4542541503906
1557037143.1199949,121000,214.40878295898438
1557037185.1928914,125000,345.33349609375
1557037195.7645113,126000,134.11924743652344
1557037205.8278167,127000,395.59124755859375
1557037237.1148145,130000,-470.71429443359375
1557037247.2534907,131000,-158.65533447265625
1557037277.4009237,134000,-545.780029296875
1557037318.3806672,138000,-455.2808837890625
1557037339.329297,140000,-376.2611389160156
1557037360.1871555,142000,561.2190551757812
1557037371.0052764,143000,-118.03812408447266
1557037381.213374,144000,-483.7891845703125
1557037392.0614152,145000,803.0196533203125
1557037432.919199,149000,-652.7980346679688
1557037453.2725432,151000,-767.9014282226562
1557037483.9088652,154000,-553.033935546875
1557037494.5796313,155000,285.1177673339844
1557037505.0694878,156000,-467.21246337890625
1557037526.6637897,158000,-142.5822296142578
1557037537.0379827,159000,460.5992736816406
1557037547.743662,160000,-529.0948486328125
1557037578.6279714,163000,-471.64898681640625
1557037599.618449,165000,-637.2152099609375
1557037610.0441077,166000,-420.1407470703125
1557037631.1203296,168000,-412.8374938964844
1557037641.5554113,169000,-500.3736572265625
1557037672.8148615,172000,-532.505615234375
1557037723.7895818,177000,-470.823974609375
1557037734.1262667,178000,-501.52935791015625
1557037744.7131295,179000,-629.4508056640625
1557037765.4533348,181000,592.8443603515625
1557037775.926722,182000,666.0103759765625
1557037796.031405,184000,216.19113159179688
1557037816.5434566,186000,734.6234130859375
1557037827.400579,187000,349.49609375
1557037837.5927305,188000,-644.8163452148438
1557037848.0693521,189000,266.7396545410156
1557037868.584799,191000,-336.5085144042969
1557037878.589716,192000,-398.19427490234375
1557037952.9088387,199000,-535.2778930664062
1557037995.420348,203000,586.46533203125
1557038036.4934125,207000,516.986572265625
1557038046.8572905,208000,-68.79669189453125
1557038057.230607,209000,32.85566711425781
1557038098.4852405,213000,-388.4322204589844
1557038129.809244,216000,-433.56011962890625
1557038160.648814,219000,-574.7289428710938
1557038171.1320589,220000,23.08500862121582
1557038202.4477637,223000,637.8643188476562
1557038212.8338609,224000,470.30517578125
1557038233.7070205,226000,-392.76593017578125
1557038243.9557443,227000,619.156494140625
1557038254.6325068,228000,-479.8406982421875
1557038275.2729788,230000,-252.98634338378906
1557038285.5824797,231000,314.5609130859375
1557038305.7851293,233000,-425.0849914550781
1557038316.4411418,234000,-235.0679931640625
1557038326.3694148,235000,-249.26780700683594
1557038356.4113977,238000,-376.73321533203125
1557038387.532807,241000,-483.6044921875
1557038440.161876,246000,-529.1665649414062
1557038461.1932013,248000,-471.13775634765625
1557038482.086347,250000,-507.2600402832031
1557038492.528658,251000,-240.5734100341797
1557038545.464243,256000,-436.66766357421875
1557038576.6765308,259000,-317.8861999511719
1557038587.0518239,260000,-515.7681884765625
1557038597.6547525,261000,439.5655517578125
1557038607.9955037,262000,-613.4933471679688
1557038628.9631689,264000,189.30636596679688
1557038670.5695367,268000,-349.5084533691406
1557038690.6779144,270000,-511.0523986816406
1557038712.0478446,272000,-568.221923828125
1557038733.2696323,274000,-612.199951171875
1557038784.7668843,279000,-554.9888916015625
1557038805.2955637,281000,-578.249267578125
1557038848.1033292,285000,-671.8133544921875
1557038900.3998902,290000,-662.2302856445312
1557038920.8413742,292000,755.0414428710938
1557038931.7936513,293000,-549.6401977539062
1557038963.2996216,296000,-480.5738220214844
1557038984.3583314,298000,-631.6513061523438
1557038994.7184532,299000,-640.2559814453125
1557039004.7687063,300000,-582.5428466796875
1557039026.1028445,302000,-615.1318359375
1557039036.7053223,303000,-508.0566711425781
1557039047.1136446,304000,-526.302001953125
1557039089.011545,308000,-533.376953125
1557039099.08783,309000,236.436767578125
1557039119.9079995,311000,411.9938049316406
1557039151.5772846,314000,-535.3944702148438
1557039193.0172753,318000,-514.215576171875
1557039203.3410633,319000,-521.1137084960938
1557039213.774638,320000,-475.1779479980469
1557039223.642994,321000,-534.1646118164062
1557039244.929475,323000,-562.1048583984375
1557039276.6513476,326000,-516.4917602539062
1557039286.9816704,327000,-499.236572265625
1557039297.1580663,328000,-397.54095458984375
1557039328.6226275,331000,-517.2409057617188
1557039338.650057,332000,-552.6898193359375
1557039359.4521246,334000,-501.7337951660156
1557039421.8892941,340000,-502.64874267578125
1557039442.4271457,342000,-499.3691711425781
1557039473.131464,345000,-516.520751953125
1557039483.4006772,346000,784.2428588867188
1557039504.3906043,348000,-541.8826904296875
1557039514.922911,349000,-464.7665100097656
1557039566.2978604,354000,-513.953369140625
1557039576.6596515,355000,883.944091796875
1557039596.9389627,357000,-514.015625
1557039617.7856932,359000,-23.959924697875977
1557039627.7463393,360000,-535.432373046875
1557039638.2344172,361000,-588.9407958984375
1557039669.0098023,364000,-621.534912109375
1557039679.3085961,365000,588.6561279296875
1557039710.7678585,368000,917.4989624023438
1557039721.52642,369000,-194.22927856445312
1557039742.368738,371000,-485.8751525878906
1557039753.1523652,372000,547.2328491210938
1557039774.0384593,374000,-65.17362976074219
1557039816.086247,378000,603.6875610351562
1557039826.2251022,379000,-351.7364196777344
1557039836.5968163,380000,-319.4189453125
1557039857.3509817,382000,18.342615127563477
1557039868.07469,383000,580.79443359375
1557039899.423801,386000,608.9319458007812
1557039909.9632332,387000,598.4832763671875
1557039920.5851047,388000,-360.897216796875
1557039930.908652,389000,-348.80267333984375
1557039951.9487953,391000,688.9244995117188
1557039962.4230595,392000,599.4012451171875
1557039972.4685159,393000,471.0866394042969
