Wall time,Step,Value
1556145198.2300005,6000,-517.4976196289062
1556145198.7000005,7000,-533.0768432617188
1556145200.8300004,11000,-437.9185485839844
1556145201.3600006,12000,-388.1313781738281
1556145202.4180005,14000,-357.31256103515625
1556145202.9680004,15000,-409.39312744140625
1556145203.4980004,16000,-459.66064453125
1556145204.5680006,18000,-447.3003845214844
1556145205.0180004,19000,-399.9009094238281
1556145205.6080005,20000,-542.6693115234375
1556145206.0810006,21000,-472.4823913574219
1556145208.1910005,25000,-578.744873046875
1556145213.1070006,34000,-454.1254577636719
1556145213.5770004,35000,-405.1933288574219
1556145214.6300004,37000,-484.1101989746094
1556145216.3000004,40000,-387.7596435546875
1556145216.7500005,41000,-426.7137451171875
1556145217.8440006,43000,-338.37158203125
1556145218.9450004,45000,-301.09527587890625
1556145219.4850004,46000,-305.7272644042969
1556145220.5550005,48000,-401.0848388671875
1556145221.6190007,50000,-363.4115905761719
1556145222.1390007,51000,-391.88067626953125
1556145223.7890005,54000,-350.78387451171875
1556145224.2590005,55000,-380.8824157714844
1556145224.8690004,56000,-439.4674987792969
1556145225.3290005,57000,-342.5833435058594
1556145225.9190006,58000,-294.8943786621094
1556145227.6430006,61000,-340.699462890625
1556145228.2030005,62000,-443.9404602050781
1556145229.2830005,64000,-331.37066650390625
1556145230.3730004,66000,-318.4369812011719
1556145230.8530004,67000,-242.38931274414062
1556145231.4440005,68000,-267.4604797363281
1556145231.8940003,69000,-260.7113037109375
1556145233.5940003,72000,-271.8492431640625
1556145234.0540004,73000,-305.82550048828125
1556145234.6640005,74000,-294.7259521484375
1556145235.1240005,75000,-339.20330810546875
1556145236.1940005,77000,-278.56597900390625
1556145237.8240006,80000,-439.153564453125
1556145240.4240005,85000,-328.65234375
1556145241.0240004,86000,-370.3495178222656
1556145241.4940004,87000,-278.5864562988281
1556145242.0940003,88000,-309.2373046875
1556145242.5640006,89000,-270.7303466796875
1556145243.1990006,90000,-340.3673095703125
1556145245.8410006,95000,-258.4206848144531
1556145250.0920005,103000,-226.3038330078125
1556145251.7820003,106000,-369.1111145019531
1556145252.2320006,107000,-358.1304626464844
1556145256.0360005,114000,-305.22003173828125
1556145257.6550007,117000,-297.70697021484375
1556145258.8400006,119000,-362.2594909667969
1556145259.4500003,120000,-267.8029479980469
1556145259.9300003,121000,-137.76458740234375
1556145262.0560005,125000,-320.233642578125
1556145262.5890005,126000,-342.7021179199219
1556145263.1190007,127000,-304.0840759277344
1556145264.7290003,130000,-263.19415283203125
1556145265.2590005,131000,-303.47601318359375
1556145266.8690004,134000,-264.7450256347656
1556145269.0190005,138000,-261.83966064453125
1556145270.0820005,140000,-207.62353515625
1556145271.0820005,142000,-292.5439758300781
1556145271.6020005,143000,-261.4617919921875
1556145272.1320004,144000,-334.5649108886719
1556145272.6720004,145000,-312.72418212890625
1556145274.8790007,149000,-294.9827880859375
1556145275.9390006,151000,-323.6562805175781
1556145277.5990007,154000,-275.7399597167969
1556145278.0890005,155000,-308.75823974609375
1556145278.6790006,156000,-248.00015258789062
1556145279.7600005,158000,-148.63816833496094
1556145280.2790005,159000,-238.57406616210938
1556145280.8150005,160000,-261.9695129394531
1556145282.4450004,163000,-296.2640686035156
1556145283.5250003,165000,-150.07656860351562
1556145284.0550005,166000,-198.92359924316406
1556145285.1250005,168000,-230.5330047607422
1556145285.6050005,169000,-227.9102020263672
1556145287.3860004,172000,-376.3683776855469
1556145290.0900004,177000,-272.843505859375
1556145290.6200006,178000,-173.4882354736328
