Wall time,Step,Value
1558420860.670235,6000,-224.1745147705078
1558420861.8795807,7000,-225.43515014648438
1558420877.116779,11000,-568.2710571289062
1558420888.6185772,12000,-315.3712158203125
1558420911.4767003,14000,-559.6834716796875
1558420922.9702284,15000,-518.968017578125
1558420934.4946225,16000,-547.5563354492188
1558420958.503109,18000,-488.3963623046875
1558420970.5443687,19000,-451.8780517578125
1558420982.8517644,20000,-458.4330749511719
1558420994.8083212,21000,-480.8931579589844
1558421040.3849108,25000,-899.88232421875
1558421141.0872095,34000,-459.4330749511719
1558421152.4784944,35000,-496.4768981933594
1558421175.3452892,37000,-513.9375610351562
1558421210.8594172,40000,-519.6881713867188
1558421222.9948344,41000,-405.8435363769531
1558421246.890699,43000,-339.2611999511719
1558421270.7939446,45000,-466.9778747558594
1558421282.9299414,46000,-442.2734069824219
1558421307.4835417,48000,-674.845458984375
1558421331.9550397,50000,-532.6448974609375
1558421344.1624343,51000,-491.6278381347656
1558421380.8143928,54000,-612.278564453125
1558421392.8486326,55000,-521.8330078125
1558421404.7497063,56000,-418.2110595703125
1558421416.5645213,57000,-350.9795227050781
1558421428.4695327,58000,-310.7984313964844
1558421465.4074013,61000,-264.3136901855469
1558421477.594846,62000,-351.20867919921875
1558421501.5496135,64000,-406.6673889160156
1558421525.6556437,66000,-560.3761596679688
1558421537.751988,67000,-546.78271484375
1558421549.6772535,68000,-772.8135375976562
1558421562.1012905,69000,-645.2011108398438
1558421598.9723616,72000,-564.4869384765625
1558421611.2513528,73000,-509.1157531738281
1558421623.6068194,74000,-579.2476196289062
1558421635.9352062,75000,-433.9263916015625
1558421660.646144,77000,-111.87646484375
1558421696.8999724,80000,-94.35328674316406
1558421756.921165,85000,-358.6313171386719
1558421768.9668467,86000,-380.3020324707031
1558421780.9176056,87000,-108.62867736816406
1558421792.7438495,88000,-315.1542053222656
1558421804.5586846,89000,-247.580322265625
1558421816.7505805,90000,-171.75234985351562
1558421876.4419558,95000,-322.7866516113281
1558421972.379129,103000,-581.549072265625
1558422008.0846367,106000,-384.9577941894531
1558422020.0952425,107000,-322.58648681640625
1558422103.778681,114000,-143.3175811767578
1558422140.933662,117000,-69.8081283569336
1558422165.5460322,119000,-176.3499755859375
1558422177.9766812,120000,-352.6954345703125
1558422190.3926675,121000,-407.7358093261719
1558422238.2233682,125000,-359.3486022949219
1558422250.440806,126000,-377.8065490722656
1558422262.5232246,127000,-446.6964416503906
1558422298.48852,130000,-462.8255310058594
1558422310.6841183,131000,-427.7705993652344
1558422347.2873847,134000,-204.3945770263672
1558422395.3673785,138000,-330.66094970703125
1558422419.353515,140000,-91.14054870605469
1558422443.9065413,142000,-201.25990295410156
1558422456.1964211,143000,-140.2637176513672
1558422468.4640164,144000,-405.5494079589844
1558422480.8042774,145000,-223.22647094726562
1558422530.0081942,149000,-93.90886688232422
1558422554.5607336,151000,-158.50587463378906
1558422590.4657233,154000,-173.31236267089844
1558422602.439257,155000,-331.2745666503906
1558422614.5130248,156000,-287.6835021972656
1558422638.6533933,158000,485.8637390136719
1558422650.8832033,159000,303.9268798828125
1558422663.1246092,160000,97.8712158203125
1558422700.0833669,163000,140.93553161621094
1558422724.1960063,165000,558.7740478515625
1558422736.17065,166000,190.9129180908203
1558422760.065376,168000,301.05767822265625
1558422772.041905,169000,783.7565307617188
1558422808.1312346,172000,68.9635238647461
1558422869.0214217,177000,35.80802917480469
1558422881.0288718,178000,310.2994689941406
1558422893.0434213,179000,144.60963439941406
1558422917.327271,181000,995.6356201171875
1558422929.672066,182000,150.44534301757812
1558422954.320392,184000,635.4302368164062
1558422978.77148,186000,150.25807189941406
1558422990.7520597,187000,159.72775268554688
1558423002.8088074,188000,98.93096923828125
1558423014.7712395,189000,586.3828735351562
1558423038.7539878,191000,245.09715270996094
1558423050.699317,192000,883.8417358398438
1558423135.6275134,199000,612.239990234375
1558423184.9729865,203000,137.6947784423828
1558423234.462775,207000,261.0174255371094
1558423246.7681756,208000,519.6298828125
1558423259.0483887,209000,716.69775390625
1558423308.6911793,213000,456.7834167480469
1558423345.7826803,216000,331.46014404296875
1558423382.0398667,219000,546.0879516601562
1558423394.0446773,220000,544.8224487304688
1558423430.507252,223000,888.9472045898438
1558423442.4339392,224000,1605.2926025390625
1558423466.4233103,226000,744.4012451171875
1558423478.3778288,227000,476.41571044921875
1558423490.3836563,228000,1510.0621337890625
1558423514.4096725,230000,731.770751953125
1558423526.2386677,231000,640.814208984375
1558423550.1949313,233000,1494.1199951171875
1558423562.2662275,234000,1573.3857421875
1558423574.2584507,235000,1551.865966796875
1558423609.955113,238000,1618.85302734375
1558423646.9472086,241000,1981.1768798828125
1558423708.7114859,246000,1752.006591796875
1558423733.3349943,248000,1618.1859130859375
1558423757.856344,250000,1829.7750244140625
1558423770.0731559,251000,1777.843994140625
1558423830.7570648,256000,1962.8621826171875
1558423866.6485164,259000,2150.21728515625
1558423878.7017918,260000,1772.1019287109375
1558423890.6060977,261000,1697.083251953125
1558423902.6156254,262000,1817.04541015625
1558423926.5963788,264000,1826.15771484375
1558423974.7070103,268000,2246.21728515625
1558423999.4595578,270000,1840.0250244140625
1558424024.0452201,272000,1265.075439453125
1558424048.211055,274000,1797.698974609375
1558424109.112346,279000,493.71282958984375
1558424133.7315273,281000,2302.12548828125
1558424181.6512406,285000,1729.66455078125
1558424241.4408245,290000,1259.686279296875
1558424265.5133126,292000,2105.88671875
1558424277.60302,293000,2470.21923828125
1558424314.8131685,296000,2090.536865234375
1558424339.5298917,298000,2305.272216796875
1558424351.6971197,299000,2320.3671875
1558424363.6603274,300000,1966.5986328125
1558424387.5682883,302000,2093.023193359375
1558424399.4845068,303000,2292.05517578125
1558424411.560888,304000,2493.566650390625
1558424460.3789682,308000,2351.794189453125
1558424472.7662723,309000,2704.868896484375
1558424497.4502697,311000,2583.682861328125
1558424533.537861,314000,2272.482666015625
1558424581.6657422,318000,1572.1685791015625
1558424593.6382356,319000,2682.634521484375
1558424605.6064286,320000,2495.44873046875
1558424617.619488,321000,2393.445556640625
1558424641.5522168,323000,2650.882080078125
1558424677.4568768,326000,2610.169677734375
1558424689.4374454,327000,2246.039794921875
1558424701.40085,328000,2674.0966796875
1558424737.4197018,331000,395.2623291015625
1558424749.2754645,332000,2813.35400390625
1558424773.0178974,334000,2677.461181640625
1558424846.0397816,340000,2309.144775390625
1558424870.522489,342000,279.2484130859375
1558424906.8030987,345000,2381.374267578125
1558424918.757151,346000,2355.43017578125
1558424943.298737,348000,2721.9873046875
1558424955.336589,349000,2605.862548828125
1558425015.862873,354000,2910.8037109375
1558425027.7666552,355000,2763.77001953125
1558425051.7332559,357000,2916.779052734375
1558425075.7138295,359000,2738.527099609375
1558425087.7962472,360000,2764.6796875
1558425100.0301104,361000,2648.530029296875
