Wall time,Step,Value
1573630467.8058007,407,-525.3856201171875
1573630468.3198009,1260,-241.4048614501953
1573630468.4128008,1493,-294.982421875
1573630468.6528008,1967,-685.9921264648438
1573630469.335801,3355,-300.2646179199219
1573630469.426801,3570,-266.6611633300781
1573630469.499801,3760,-348.1510925292969
1573630469.5338006,3843,-441.0403137207031
1573630469.6018007,4020,-638.0890502929688
1573630469.8628008,4474,-210.2581787109375
1573630469.9518008,4700,-147.95343017578125
1573630470.298801,5418,-162.47108459472656
1573630470.5728009,5888,-458.41229248046875
1573630470.6188009,5988,-406.9415588378906
1573630470.6458006,6051,-109.36039733886719
1573630470.6748009,6133,-181.32688903808594
1573630470.9258008,6613,-259.24560546875
1573630471.2168007,7297,-488.7135925292969
1573630471.4908009,7828,-736.9812622070312
1573630471.9098008,8483,-594.89208984375
1573630472.0078008,8713,-765.6323852539062
1573630472.0568008,8813,-768.7320556640625
1573630472.3808007,9381,-869.2152099609375
1573630472.5728009,9807,-421.93878173828125
1573630472.890801,10426,-148.87728881835938
1573630473.0458007,10707,-710.2146606445312
1573630473.407801,11501,-173.77462768554688
1573630473.8068008,12334,-565.0396118164062
1573630473.986801,12715,-601.0860595703125
1573630474.090801,12942,-94.38668060302734
1573630474.4568007,13675,-414.5186767578125
1573630474.4898007,13754,-599.3612670898438
1573630474.8598008,14541,-284.99957275390625
1573630475.091801,14958,-203.76539611816406
1573630475.1658008,15112,-643.1427612304688
1573630475.1978006,15190,-144.20626831054688
1573630475.3818007,15506,-604.097412109375
1573630475.6818006,16171,-442.6142578125
1573630475.9678009,16731,-173.03240966796875
1573630475.9948008,16791,-195.19012451171875
1573630476.0318007,16869,-623.8914184570312
1573630476.1998007,17179,-101.3051528930664
1573630476.6518009,18115,-395.03839111328125
1573630476.835801,18501,-392.9171447753906
1573630477.0018008,18933,-171.01097106933594
1573630477.1018007,19179,-539.6549682617188
1573630477.6438007,20148,-295.3338928222656
1573630477.8238008,20600,-161.75827026367188
1573630478.018801,20998,-197.2418212890625
1573630478.1298008,21257,-177.9176788330078
1573630478.2848008,21621,-570.2066650390625
1573630478.4958007,21990,-159.0254364013672
1573630478.5648007,22153,-154.9339599609375
1573630479.2638009,23662,-258.2418212890625
1573630479.430801,24068,-144.2457275390625
1573630479.4778006,24158,-629.898193359375
1573630479.6558008,24493,-504.8523864746094
1573630479.838801,24924,-134.81216430664062
1573630479.9568007,25092,-145.6074676513672
1573630480.190801,25721,-560.323486328125
1573630480.2808008,25824,-367.80389404296875
1573630480.4578006,26271,-271.6927795410156
1573630480.4978006,26368,-147.82017517089844
1573630480.5218008,26431,-115.89117431640625
1573630480.6438007,26639,-321.03887939453125
1573630481.0528007,27444,-145.16722106933594
1573630481.3058007,28054,-169.19137573242188
1573630481.9658008,29349,-173.38705444335938
1573630482.0978007,29676,-126.56813049316406
1573630482.334801,30136,-499.72808837890625
1573630482.4578006,30444,-195.18392944335938
1573630482.558801,30632,-189.8837890625
1573630482.9848008,31540,-615.521728515625
1573630483.0088007,31600,-179.39901733398438
1573630483.6188009,32949,-169.01402282714844
1573630484.1428008,34023,-145.11868286132812
1573630484.167801,34090,-113.37898254394531
1573630484.2358007,34248,-182.14549255371094
1573630484.4688008,34711,-348.7859802246094
1573630484.7848008,35430,-359.911865234375
1573630484.8628008,35624,-448.0568542480469
1573630484.8988008,35709,-15.019965171813965
1573630484.998801,35932,-141.71481323242188
1573630485.2968009,36413,-159.2139129638672
1573630485.7298007,37145,-98.77661895751953
1573630485.8198009,37377,-215.33349609375
1573630485.8458006,37444,-197.99588012695312
1573630486.1798007,38178,-172.97994995117188
1573630486.1998007,38236,-138.8055419921875
1573630486.7658007,39417,-96.7421875
1573630486.8368008,39595,-531.3619995117188
1573630486.9088008,39787,-437.1402282714844
1573630487.3698008,40846,-232.74038696289062
1573630487.5808008,41243,-185.17127990722656
1573630487.6388009,41385,-89.35597229003906
1573630487.7328007,41634,-280.92718505859375
1573630488.042801,42309,-135.68072509765625
1573630488.2878008,42792,-209.7575225830078
1573630488.3408008,42928,-193.88453674316406
1573630488.4528008,43206,-175.1342315673828
1573630488.703801,43696,-155.10617065429688
1573630488.887801,44131,-297.7535705566406
1573630489.3078008,44951,-130.31942749023438
1573630489.4128008,45090,-257.6298828125
1573630489.519801,45351,-350.8124084472656
1573630489.758801,45842,-166.61558532714844
1573630489.8738008,46114,-120.63829803466797
1573630490.0958009,46533,-197.13185119628906
1573630490.1798007,46732,-175.08900451660156
1573630490.219801,46828,-279.0907897949219
1573630490.295801,46997,-89.86123657226562
1573630490.3538008,47142,-93.60296630859375
1573630490.3918009,47241,-130.4479522705078
1573630490.6058006,47648,-283.75152587890625
1573630490.6338007,47711,-156.4838409423828
1573630490.9908009,48448,-110.09623718261719
1573630491.2188008,48973,-68.28321075439453
1573630491.3258007,49099,-141.33116149902344
1573630491.4818008,49468,-141.16189575195312
1573630491.6978006,49874,-182.9331817626953
1573630491.7498007,50003,-147.46009826660156
1573630492.2088008,51049,-173.5863037109375
1573630492.4888008,51632,-229.54481506347656
1573630492.522801,51713,-403.18115234375
1573630492.594801,51884,-145.3197784423828
1573630492.6208007,51949,-189.87789916992188
1573630492.6528008,52020,-134.89129638671875
1573630492.7078009,52140,-212.6911163330078
1573630492.8138008,52274,-97.57609558105469
1573630492.9048007,52495,-144.99545288085938
1573630493.0618007,52890,-448.7740478515625
1573630493.2658007,53287,-407.25482177734375
1573630493.3808007,53557,-154.37222290039062
1573630493.5418007,53959,-82.59896850585938
1573630493.6998007,54209,-136.79953002929688
1573630493.830801,54489,-164.54283142089844
1573630493.9698007,54814,-208.5695343017578
1573630494.1238008,54913,-268.31243896484375
1573630494.3468008,55276,-124.1995849609375
1573630494.627801,55738,-325.2252197265625
1573630494.742801,55827,-159.24363708496094
1573630495.0578008,56434,-158.2904052734375
1573630495.1968007,56637,-132.13973999023438
1573630495.338801,56943,-126.97215270996094
1573630495.4648008,57211,-187.6251678466797
1573630495.8418007,57854,-144.0211181640625
1573630496.0418007,58243,-146.89398193359375
1573630496.2128007,58455,-120.21154022216797
1573630496.2738006,58552,-408.0729675292969
1573630496.315801,58638,-256.1686096191406
1573630496.6538007,59222,-233.26641845703125
1573630496.910801,59749,-232.1562042236328
1573630496.979801,59881,-144.6890106201172
1573630497.091801,59988,-233.3681182861328
1573630497.2288008,60280,-164.53878784179688
1573630497.3428009,60528,-122.8472671508789
1573630497.5098007,60757,-236.30039978027344
1573630497.5688007,60855,-352.3669738769531
1573630497.5958009,60913,-129.00631713867188
1573630497.7668009,61276,-169.93666076660156
1573630498.2688007,62073,-170.16749572753906
1573630498.4928007,62403,-108.06456756591797
1573630498.5638008,62510,-158.84999084472656
1573630498.626801,62601,-251.71742248535156
1573630498.7118008,62772,-181.47738647460938
1573630498.738801,62831,-133.44837951660156
1573630499.0128007,63290,-139.1396484375
1573630499.166801,63623,-202.3031005859375
1573630499.202801,63700,-205.08966064453125
1573630499.2678008,63842,-181.27305603027344
1573630499.406801,64007,-73.23111724853516
1573630499.5418007,64255,-119.58197021484375
1573630499.6008008,64338,-179.3372344970703
1573630499.6338007,64404,-162.36631774902344
1573630499.706801,64522,-41.62981033325195
1573630499.8888009,64840,-149.09829711914062
1573630500.1618006,65182,-125.89175415039062
1573630500.3668008,65593,-128.05776977539062
1573630500.4358008,65671,-122.13045501708984
1573630500.5488007,65762,-282.38458251953125
1573630500.7808008,66207,-140.4534149169922
1573630501.202801,66795,-179.2029266357422
1573630501.354801,67100,-225.73301696777344
1573630501.4878008,67355,-274.5533142089844
1573630501.6998007,67661,-149.8249053955078
1573630501.890801,68047,-467.2803649902344
1573630501.9708009,68214,-222.99070739746094
1573630502.2218008,68615,-124.55377960205078
1573630503.3758008,70579,-380.01318359375
1573630503.5268009,70765,-142.5336456298828
1573630503.5768008,70852,-153.24200439453125
1573630503.7888007,71192,-137.28245544433594
1573630503.9368007,71396,-110.87908935546875
1573630504.1558008,71696,-126.05150604248047
1573630504.2478008,71868,-316.81768798828125
1573630504.646801,72516,-123.21124267578125
1573630504.9878008,73038,-156.53091430664062
1573630505.2248008,73331,-168.1093292236328
1573630505.5728009,73921,-156.41909790039062
1573630505.647801,74034,-153.75582885742188
1573630505.7608008,74124,-142.0651092529297
1573630505.8168008,74222,-142.50146484375
1573630506.0858006,74655,-107.43840789794922
1573630506.1928008,74795,-143.77767944335938
1573630506.4038007,75068,-166.3033905029297
1573630506.4708009,75182,-219.95948791503906
1573630506.591801,75378,-166.92340087890625
1573630507.219801,76125,-148.0316925048828
1573630507.275801,76201,-159.3927001953125
1573630507.4678009,76438,-142.5283660888672
1573630507.874801,76964,-124.34781646728516
1573630508.034801,77242,-183.84649658203125
1573630508.4968007,77972,-141.8394775390625
1573630508.6018007,78160,-39.069644927978516
1573630508.7188008,78332,-160.76272583007812
1573630508.9848008,78628,-172.93060302734375
1573630509.042801,78736,-155.3052520751953
1573630509.275801,79121,-240.81626892089844
1573630509.5648007,79521,-146.65040588378906
1573630509.6018007,79594,-150.67588806152344
1573630509.815801,79977,-290.52288818359375
1573630509.871801,80065,-112.91468048095703
1573630509.9058008,80126,-140.50662231445312
1573630510.0148008,80198,-147.27944946289062
1573630510.2778008,80597,-164.72622680664062
1573630510.3418007,80694,-173.93592834472656
1573630510.4558008,80911,-111.33765411376953
1573630510.4918008,80978,-121.48423767089844
1573630510.914801,81674,-141.45457458496094
1573630511.1688008,81964,-137.33570861816406
1573630511.2658007,82136,-254.72300720214844
1573630511.4008007,82362,-189.83944702148438
1573630511.4418006,82425,-118.81892395019531
1573630511.9158008,83201,-149.3350067138672
1573630511.9558008,83282,-123.90717315673828
1573630512.0818007,83541,-134.7376251220703
1573630512.5688007,84246,-100.15213775634766
1573630512.6408007,84388,-159.17483520507812
1573630512.8468008,84675,-151.70909118652344
1573630512.890801,84755,-96.53057861328125
1573630513.1518009,85225,-96.28632354736328
1573630513.575801,85874,-143.20362854003906
1573630514.2368007,86879,-125.40265655517578
1573630514.3118007,87025,-109.73950958251953
1573630514.6728008,87582,-168.70614624023438
1573630514.854801,87847,-93.05445098876953
1573630514.9748008,88048,-95.96484375
1573630515.3558009,88436,-253.2266845703125
1573630515.6598008,88781,-175.85777282714844
1573630515.8048007,89006,-213.5621795654297
1573630516.1018007,89428,-145.09408569335938
1573630516.170801,89546,-190.15769958496094
1573630516.226801,89635,-152.9907989501953
1573630516.7568007,90452,-105.11290740966797
1573630517.1188009,90989,-114.7813491821289
1573630517.3298006,91335,-172.54518127441406
1573630517.4088008,91463,-176.1431427001953
1573630517.4818008,91587,-203.79286193847656
1573630518.0178008,92423,-143.7564697265625
1573630518.2928007,92819,-100.81920623779297
1573630518.590801,93326,-158.93508911132812
1573630519.091801,94079,-125.75634002685547
1573630519.1988008,94287,-117.30267333984375
1573630520.4588008,96195,-114.69139862060547
1573630520.5128007,96296,-154.65457153320312
1573630520.758801,96655,-104.58307647705078
1573630520.8178008,96764,-142.93226623535156
1573630520.886801,96885,-154.87709045410156
1573630521.943801,98454,-100.80326843261719
1573630522.278801,98973,-136.67774963378906
1573630522.7698007,99651,-100.68942260742188
1573630522.8178008,99736,-128.4790496826172
1573630523.203801,100251,-95.9634017944336
1573630523.3008008,100401,-145.1857452392578
1573630523.6538007,100905,-109.89520263671875
1573630523.7878008,101127,-204.118408203125
1573630523.9898007,101313,-120.87208557128906
1573630524.2148008,101688,-114.92418670654297
1573630525.483801,103420,-91.59130859375
1573630525.6338007,103687,-270.7942810058594
1573630525.719801,103857,-108.2745361328125
1573630526.3568008,104722,-85.77452850341797
1573630526.4818008,104962,-230.0545654296875
1573630526.9498007,105666,-125.5467758178711
1573630527.0648007,105886,-121.24124908447266
1573630527.1808007,106114,-141.9073028564453
1573630527.2358007,106209,-118.1590805053711
1573630527.5468009,106552,-122.29216766357422
1573630527.8558009,107038,-119.53438568115234
1573630528.390801,107841,-318.2576904296875
1573630528.9168007,108545,-123.67923736572266
1573630529.3048007,109207,-152.52334594726562
1573630529.687801,109669,-231.3900604248047
1573630529.7508008,109777,-147.68930053710938
1573630529.835801,109906,-136.90306091308594
1573630529.8928008,109986,-107.24899291992188
1573630530.3858006,110653,-93.53424835205078
1573630534.9338007,112644,-86.58790588378906
1573630535.090801,112865,-128.3159942626953
1573630535.3098006,113227,-151.27146911621094
1573630535.367801,113329,-118.87915802001953
1573630535.7058008,113710,-124.11225128173828
1573630536.1408007,114274,-70.98880767822266
1573630536.5058007,114624,-67.84477996826172
1573630536.8048007,114972,-108.70230102539062
1573630537.0128007,115290,-129.65322875976562
1573630537.2158008,115637,-98.6748046875
1573630537.2848008,115751,-159.09698486328125
1573630538.758801,117848,-182.59393310546875
1573630543.4008007,119984,-6.254334449768066
1573630543.7378006,120379,-162.8321075439453
1573630544.9448009,122236,-138.05697631835938
1573630545.183801,122560,-110.31761169433594
1573630545.3418007,122650,-71.80593872070312
1573630545.502801,122903,-119.68301391601562
1573630545.6248007,123086,-94.98104858398438
1573630547.238801,125386,-161.55177307128906
1573630547.3278008,125503,-230.54954528808594
1573630547.4178007,125641,-127.15809631347656
1573630547.831801,126231,-306.70025634765625
1573630548.0568008,126594,-14.57083511352539
1573630548.3978007,127119,-120.13436126708984
1573630548.6098008,127467,-62.624046325683594
1573630549.0338006,128014,-127.55469512939453
1573630549.3888009,128583,-127.11428833007812
1573630549.8368008,129129,-228.84803771972656
1573630551.331801,131316,-89.78467559814453
1573630552.3608007,132731,-119.37305450439453
1573630552.4058008,132809,-62.388145446777344
1573630556.8398008,135270,-155.3046112060547
1573630558.222801,136727,-359.19110107421875
1573630558.2868009,136831,-106.54124450683594
1573630558.5828009,137166,-49.924678802490234
1573630558.7918007,137498,-108.3892593383789
1573630558.9398007,137690,-94.29537963867188
1573630559.6088006,138694,-56.78493118286133
1573630559.6888008,138819,-92.86991882324219
1573630560.4778006,139944,-435.83123779296875
1573630560.7768009,140230,-266.250244140625
1573630562.686801,142516,-89.22064971923828
1573630562.7568007,142631,-96.55531311035156
1573630563.0118008,143026,-71.33895874023438
1573630564.5098007,144452,-153.6441650390625
1573630566.0088007,146390,-225.5213165283203
1573630566.647801,147166,-100.53126525878906
1573630566.8288007,147412,-172.61676025390625
1573630567.1368008,147789,-341.2292175292969
1573630568.0168009,148886,-200.3504180908203
1573630568.7248008,149952,-194.58828735351562
1573630568.9198008,150098,-120.69697570800781
1573630569.8988008,151476,-44.22217559814453
1573630570.4018006,152039,-84.10208892822266
1573630570.5268009,152270,-141.27291870117188
1573630573.7618008,153795,-66.82170867919922
1573630574.7508008,155087,-41.96507263183594
1573630576.6238008,156602,-266.4810791015625
1573630576.6938007,156702,-157.3185272216797
1573630577.6798007,157792,-240.36929321289062
1573630580.9258008,159878,-289.22625732421875
1573630581.4058008,160236,-301.75628662109375
1573630582.0978007,161292,-239.30108642578125
1573630582.1988008,161447,-250.470458984375
1573630582.9968007,162271,-238.81039428710938
1573630583.5158007,163046,-106.041748046875
1573630583.9138007,163495,-124.65176391601562
1573630584.0928009,163755,-30.29874610900879
1573630584.4938006,164271,-56.4038200378418
1573630584.8738008,164791,-81.16913604736328
1573630585.4188008,165377,-38.11879348754883
1573630586.3208008,166587,-71.5675277709961
1573630587.479801,168164,-115.34334564208984
1573630587.8538008,168516,-99.86105346679688
1573630587.9708009,168714,-65.09119415283203
1573630588.2308009,169108,4.824988842010498
1573630588.3438008,169278,-328.21795654296875
1573630589.1458006,170349,-54.507747650146484
1573630589.282801,170559,-94.21001434326172
1573630590.4458008,171983,-339.61907958984375
1573630590.854801,172516,-330.6351623535156
1573630590.9568007,172673,-75.16896057128906
1573630591.0238008,172790,-125.41925048828125
1573630591.147801,172972,-140.42198181152344
1573630591.5808008,173379,-124.12842559814453
1573630592.0368009,173963,-83.58934783935547
1573630592.9738007,175145,-99.53175354003906
1573630593.0328007,175245,-28.720592498779297
1573630595.8218007,177161,-502.3838195800781
1573630595.9348009,177307,-107.7378921508789
1573630596.2378006,177513,-76.93679809570312
1573630597.466801,179271,-395.7998352050781
1573630598.166801,180002,-40.81483459472656
1573630598.4298007,180369,-219.81161499023438
1573630598.5038009,180467,-77.75656127929688
1573630598.683801,180763,-148.33657836914062
1573630599.3218007,181520,-95.36747741699219
1573630599.4028008,181644,-48.72392272949219
1573630599.7058008,182039,-68.9354248046875
1573630599.7868009,182174,-62.60245895385742
1573630599.960801,182400,-150.9180908203125
1573630601.2058008,183527,-166.24456787109375
1573630604.7328007,186448,-65.64381408691406
1573630606.3138008,188221,-164.54713439941406
1573630609.9018006,190175,-324.3710021972656
1573630616.594801,193239,-289.801513671875
1573630616.914801,193398,-38.91545486450195
1573630617.7998009,194767,-34.83972930908203
1573630618.8478007,196037,-73.39907836914062
1573630621.3098006,198223,-179.68954467773438
1573630621.535801,198628,-55.86262512207031
1573630623.4118009,200184,-110.21490478515625
1573630623.6888008,200581,-132.9093017578125
1573630624.282801,201269,-37.68550109863281
1573630626.1448007,203273,-27.451000213623047
1573630626.330801,203509,-282.2209777832031
1573630626.591801,203936,-63.851959228515625
1573630627.4898007,204964,-67.91905212402344
1573630627.8898008,205628,-104.9658432006836
1573630629.723801,208006,-134.22486877441406
1573630629.8498006,208245,-19.02507972717285
1573630630.006801,208362,-107.97856140136719
1573630631.3898008,209665,-57.65351104736328
1573630631.4968007,209842,-100.64706420898438
1573630631.5598009,209954,-125.71346282958984
1573630631.9158008,210325,-51.946598052978516
1573630632.1588008,210697,-78.5685043334961
1573630633.9498007,212963,-298.56982421875
1573630640.2568007,216922,-133.48728942871094
1573630640.9338007,217970,-57.273555755615234
1573630641.5848007,218827,-86.27908325195312
1573630641.7888007,219086,-86.49545288085938
1573630643.0728009,220374,-305.8146667480469
1573630643.4048007,220928,-90.88475036621094
1573630643.7058008,221330,-94.3170166015625
1573630643.962801,221653,-55.91553497314453
1573630644.8198009,222647,-54.18548583984375
1573630646.5618007,223663,-316.70452880859375
1573630646.8398008,223901,-84.88902282714844
1573630649.6738007,225245,-49.83958435058594
