Wall time,Step,Value
1573561842.4418006,824,-67.1288070678711
1573561843.463801,2123,-389.3506774902344
1573561843.6938007,2458,-297.61578369140625
1573561844.202801,3214,-345.1208190917969
1573561845.598801,5199,-416.1326599121094
1573561845.7478008,5392,-442.3127746582031
1573561845.9728007,5718,-208.0418701171875
1573561846.0238008,5819,-353.70135498046875
1573561846.1488008,6035,-333.6145935058594
1573561846.5218008,6678,-121.24667358398438
1573561847.1758008,7340,-275.7144470214844
1573561847.6718009,8246,-314.5755615234375
1573561848.0728009,8896,-480.6640319824219
1573561848.154801,9009,-142.39866638183594
1573561848.2148008,9097,-368.8180236816406
1573561848.2778008,9188,-320.42523193359375
1573561848.5928009,9724,-167.1243438720703
1573561850.2918007,10399,-775.6099243164062
1573561852.907801,11061,-1059.8138427734375
1573561856.554801,11963,-744.5470581054688
1573561858.6228008,12461,-380.8138427734375
1573561858.927801,12544,-345.12750244140625
1573561860.7608008,13030,-398.9069519042969
1573561862.4408007,13369,-364.7961120605469
1573561864.9778006,13923,-415.2867126464844
1573561876.8428009,15485,-224.43890380859375
1573561904.8098006,19616,-287.7878112792969
1573561943.574801,25723,-261.3925476074219
1573561957.906801,28042,-92.9074478149414
1573561968.035801,29763,-200.83221435546875
1573561996.4888008,34810,-235.34483337402344
1573561999.631801,35392,-222.373046875
1573562021.0768008,39603,-203.08387756347656
1573562033.3658006,41932,-264.8819274902344
1573562038.2348008,42930,-236.80982971191406
1573562040.4208007,43362,-195.55870056152344
1573562056.075801,45930,-185.82716369628906
1573562103.3648007,53221,-231.4254150390625
1573562145.0278008,59669,-101.14280700683594
1573562145.9038007,59867,-250.02114868164062
1573562146.5738008,60026,-215.9393768310547
1573562168.2938006,63217,-129.16375732421875
1573562216.7498007,70998,-137.89073181152344
1573562250.7478008,76198,-78.7952651977539
1573562266.5158007,78931,-95.94142150878906
1573562280.9498007,81218,-266.10687255859375
1573562347.019801,90743,-158.639892578125
1573562367.6138008,94285,-184.62474060058594
1573562407.7668009,99285,-110.23107147216797
1573562432.331801,102285,-92.68275451660156
1573562457.1728008,105834,-115.15186309814453
1573562481.0728009,109334,-120.84051513671875
1573562494.723801,111334,-142.1201629638672
1573562628.4948008,130064,-85.47318267822266
1573562656.9248009,135064,-82.6196517944336
1573562663.6798007,136064,-141.84039306640625
1573562692.4718008,140699,-205.52455139160156
1573562720.3698008,145207,-118.7132568359375
1573562731.7888007,147207,-136.5048828125
1573562784.535801,155207,-96.59684753417969
1573562790.0898006,156207,-75.58451080322266
1573562826.6958008,162207,-112.1154556274414
1573562832.9298007,163207,-67.10391235351562
1573562838.3528008,164207,-87.92185974121094
1573562856.8398008,167207,-121.06901550292969
1573562912.927801,176207,-89.81826782226562
1573562964.8668008,184207,-136.75831604003906
1573563075.630801,200091,-193.70680236816406
1573563091.1498008,202582,-181.4801483154297
1573563094.647801,203343,-77.62403869628906
1573563096.8408008,203839,-49.12826919555664
1573563097.6458006,204030,-283.3728942871094
1573563109.4048007,206417,-138.14645385742188
1573563110.1388009,206576,-26.69850730895996
