Wall time,Step,Value
1573611161.8288007,650,-292.932373046875
1573611162.6538007,1931,-178.51564025878906
1573611168.4298007,3519,-211.9795379638672
1573611169.351801,5106,-257.08551025390625
1573611169.4598007,5301,-173.2332000732422
1573611169.9358008,5767,-292.7609558105469
1573611170.3398008,6173,-273.9377136230469
1573611170.7678008,6871,-202.5787811279297
1573611170.9318008,7126,-175.4365234375
1573611172.0828009,8823,-285.1217346191406
1573611172.3558009,9184,-276.46099853515625
1573611172.7448008,9741,-129.3929901123047
1573611178.6858008,10773,-460.71856689453125
1573611182.654801,11299,-692.3897094726562
1573611184.164801,11499,-539.4627075195312
1573611184.7178006,11572,-528.0501708984375
1573611188.4378006,12070,-888.9708251953125
1573611195.3198009,12943,-684.5655517578125
1573611202.9498007,13982,-1628.18408203125
1573611211.2308009,15133,-579.5288696289062
1573611213.5258007,15464,-583.7214965820312
1573611214.9708009,15666,-710.7396850585938
1573611219.3268008,16281,-509.5074462890625
1573611219.8118007,16344,-631.7192993164062
1573611224.8138008,17021,-627.9586791992188
1573611228.5698006,17534,-1892.4859619140625
1573611230.110801,17753,-365.2832336425781
1573611231.443801,17939,-1224.7901611328125
1573611234.5828009,18369,-515.7247924804688
1573611240.8048007,19268,-426.16790771484375
1573611247.795801,20259,-340.5379638671875
1573611248.7148008,20395,-270.2695007324219
1573611252.5048008,20932,-1050.037109375
1573611260.0058007,22000,-580.7599487304688
1573611268.7818007,23192,-643.2555541992188
1573611275.479801,24119,-200.90866088867188
1573611281.3398008,24853,-978.6301879882812
1573611294.6428008,26660,-966.770751953125
1573611300.3888009,27459,-618.078369140625
1573611305.7248008,28189,-687.0272827148438
1573611314.5858006,29379,-729.9879150390625
1573611319.2218008,29966,-230.13328552246094
1573611321.0708008,30237,-432.10247802734375
1573611353.334801,34115,-144.9158935546875
1573611361.5328007,35131,-75.16377258300781
1573611363.5888007,35385,-214.47183227539062
1573611366.7048008,35804,-215.0928497314453
1573611380.4168007,37441,-195.48956298828125
1573611383.226801,37808,-308.6183166503906
1573611390.3018007,38741,-170.99778747558594
1573611390.9028008,38814,-121.87696075439453
