Wall time,Step,Value
1573730600.146801,623,-186.0602569580078
1573730601.2178006,1920,-227.69712829589844
1573730601.723801,2608,-278.94500732421875
1573730603.3788009,4803,-433.985595703125
1573730603.466801,4969,-279.91729736328125
1573730603.6988008,5347,-102.67544555664062
1573730603.834801,5586,-539.2432861328125
1573730604.3228009,6282,-254.7459259033203
1573730604.5418007,6621,-283.5459899902344
1573730605.3798008,7754,-163.6173553466797
1573730605.926801,8520,-70.0554428100586
1573730606.186801,8807,-395.3663024902344
1573730606.2698007,8938,-407.5247802734375
1573730606.7968009,9581,-116.30320739746094
1573730607.3658006,10573,-323.7471618652344
1573730608.2338006,11543,-294.91998291015625
1573730608.9948008,12663,-313.05865478515625
1573730609.3788009,13194,-105.11351013183594
1573730609.4318008,13301,-92.6041259765625
1573730610.3168008,14396,-315.2970275878906
1573730610.9968007,15342,-332.5439453125
1573730612.0638008,16561,-114.87605285644531
1573730614.2018006,18742,-458.9141540527344
1573730616.1918008,20814,-96.67829895019531
1573730616.9818008,21765,-137.59254455566406
1573730617.5448008,22335,-318.51336669921875
1573730618.9248009,23833,-332.6189270019531
1573730619.0648007,24026,-130.7266387939453
1573730620.4218006,25663,-154.6595916748047
1573730621.1218007,26392,-36.601524353027344
1573730621.3048007,26681,-120.92866516113281
1573730621.4888008,26886,-44.584781646728516
1573730625.3538008,28357,-71.5342788696289
1573730628.7818007,30716,-48.5983772277832
1573730632.8538008,32911,-150.78109741210938
1573730633.1178007,33173,-217.5934600830078
1573730634.3408008,34397,-140.1326904296875
1573730637.3628008,37063,-143.64892578125
1573730639.262801,38608,8.070327758789062
1573730642.0088007,40511,-359.8991394042969
1573730643.1188009,41480,-382.9425048828125
1573730651.1998007,46176,-51.77278137207031
1573730656.5688007,48802,-68.14236450195312
1573730658.4548008,50159,-100.16069030761719
1573730663.0108008,52064,-49.29246520996094
1573730664.4888008,53384,-42.544776916503906
1573730670.3858006,55598,-115.18712615966797
1573730670.630801,55960,-82.84856414794922
1573730685.315801,64515,-15.368206977844238
1573730686.4398007,65811,-112.0631103515625
1573730686.9188008,66199,-139.1643524169922
1573730692.0408008,69165,-66.85492706298828
1573730700.687801,72526,35.95891189575195
1573730703.539801,73756,-92.65634155273438
1573730720.498801,80688,-305.43365478515625
1573730722.0848007,81077,-87.27555847167969
1573730731.6188009,85845,-262.71484375
1573730734.2178006,86845,0.6884158849716187
1573730742.1218007,89556,-3.1244263648986816
1573730748.1448007,93549,-19.931928634643555
1573730754.1688008,97839,22.021862030029297
1573730772.8268008,107481,77.2546615600586
1573730779.1998007,110089,-37.27836227416992
1573730790.094801,114129,-64.0676498413086
1573730795.0668008,116800,33.292640686035156
1573730799.5598009,118800,48.929840087890625
1573730815.8728008,128224,-5.052688121795654
1573730840.3798008,140478,50.86945343017578
1573730862.1388009,150692,32.676490783691406
1573730864.1788008,151692,78.11846160888672
1573730868.3448007,153692,59.431968688964844
1573730882.110801,158750,7.935474395751953
1573730899.295801,166106,46.1632194519043
1573730904.3728008,168106,49.778839111328125
1573730905.7738006,169106,66.84207153320312
1573730913.6138008,172106,87.66561126708984
1573730930.8798008,178106,102.43341827392578
1573730941.6808007,183919,46.012901306152344
1573730946.8638008,186919,86.70439147949219
1573730949.3298006,187919,60.56387710571289
1573730964.4648008,195855,80.9285659790039
1573730987.2158008,206620,-36.438079833984375
1573730990.7208009,208180,-156.19537353515625
1573730994.9088008,210180,89.99626159667969
1573731024.0298007,223576,-26.69245147705078
1573731034.775801,227818,-37.28704071044922
1573731039.4818008,229818,44.66865158081055
1573731044.0008008,232818,47.57487869262695
1573731061.7328007,240818,84.39421081542969
1573731077.9878008,246175,91.78482055664062
1573731081.535801,248175,107.61811828613281
1573731085.114801,250145,3.463676929473877
1573731092.3228009,254033,115.97712707519531
1573731099.6188009,258261,129.18409729003906
1573731119.019801,267074,109.22830963134766
1573731130.6448007,271607,-30.760934829711914
1573731143.5238008,277607,49.69673156738281
1573731149.0868008,280937,95.08096313476562
1573731161.982801,286937,98.24913787841797
1573731166.0168009,288937,87.51065063476562
1573731166.3818007,289262,-12.700374603271484
1573731169.5878007,290825,226.87106323242188
1573731171.666801,292100,85.38973236083984
1573731173.8958008,293100,81.77970123291016
1573731183.1538007,297456,92.24685668945312
1573731185.2018006,298456,85.18620300292969
1573731200.906801,306929,131.09474182128906
1573731211.6238008,312339,121.42669677734375
1573731218.0828009,314339,76.62257385253906
1573731228.6988008,319339,41.92414093017578
1573731242.246801,324339,113.90766143798828
1573731245.9588008,326339,49.54186248779297
1573731270.6688008,337616,-8.795478820800781
1573731282.2968009,343700,67.58812713623047
1573731283.7478008,344700,13.045995712280273
1573731287.4538007,346700,109.057373046875
1573731288.9168007,347922,67.7193374633789
1573731290.6168008,348922,118.96730041503906
1573731294.5238008,350922,61.22999572753906
1573731313.4718008,360804,93.87908172607422
1573731318.0668008,363804,138.40914916992188
1573731322.6448007,366605,113.03968048095703
1573731328.647801,369337,185.59976196289062
1573731332.6778007,371603,62.42048263549805
1573731338.9538007,374813,24.60604476928711
1573731341.6488008,375813,116.52218627929688
1573731348.5708008,379813,119.6124267578125
1573731358.7888007,384813,93.20087432861328
1573731361.539801,385813,129.4292449951172
1573731382.0328007,395274,-323.94158935546875
1573731391.2188008,399203,99.4459228515625
1573731393.3108008,400665,-27.091413497924805
1573731407.2418008,407809,113.4874496459961
1573731414.6688008,411580,101.77909851074219
1573731420.8268008,414580,82.43523406982422
1573731422.2608008,415500,232.48355102539062
1573731424.4158008,416500,115.30831146240234
1573731438.1138008,423049,118.21167755126953
1573731448.1988008,427834,100.06661224365234
1573731451.3228009,429834,104.34265899658203
1573731454.314801,430834,103.993896484375
1573731461.4398007,434834,128.71656799316406
1573731467.558801,438246,-287.6134338378906
1573731470.3528008,439587,183.79757690429688
1573731472.1628008,440587,134.66302490234375
1573731474.571801,441587,77.65449523925781
1573731483.7768009,445533,81.92900848388672
1573731500.4058008,454533,100.30960083007812
1573731506.7278008,457925,124.22712707519531
1573731508.0998008,458925,138.0990753173828
1573731509.8958008,459925,144.8275604248047
1573731512.6698008,461925,109.4334945678711
1573731512.9598007,462143,-11.993810653686523
1573731520.6588008,466293,114.4078598022461
1573731527.647801,470293,88.92884826660156
1573731529.4648008,471293,82.68024444580078
1573731532.9478009,473163,222.34225463867188
1573731536.7938006,475163,148.78794860839844
1573731540.9738007,477425,120.467041015625
1573731542.314801,478425,98.32211303710938
1573731543.871801,479425,88.69197082519531
1573731545.442801,480425,118.28360748291016
1573731551.1368008,483425,65.98226928710938
1573731558.664801,487425,129.02261352539062
1573731567.5268009,491980,92.31414794921875
1573731569.0278008,492980,91.83739471435547
1573731571.1198008,493803,252.76194763183594
1573731583.983801,499803,106.63583374023438
1573731601.7348008,508710,141.8839874267578
1573731611.146801,514459,102.56462097167969
1573731616.1498008,517864,223.45509338378906
1573731619.5798008,519681,87.50757598876953
1573731627.034801,523747,204.28782653808594
1573731659.8698008,543950,109.45667266845703
1573731664.2278008,545709,199.159423828125
1573731664.5218008,546021,214.611083984375
1573731667.3758008,548192,208.12159729003906
1573731668.5608008,549024,213.63706970214844
1573731673.4378006,552227,102.28388977050781
1573731673.6258006,552534,10.699167251586914
1573731685.5448008,559596,128.65184020996094
1573731691.2738006,563652,90.26834106445312
1573731697.2618008,567109,126.09812927246094
1573731704.9918008,572245,240.2155303955078
1573731707.5088007,573387,95.58487701416016
1573731710.762801,576226,130.37774658203125
1573731712.0238008,577142,224.62547302246094
1573731714.5468009,578682,100.33634185791016
1573731716.4368007,579682,107.55537414550781
1573731718.5508008,580947,232.91781616210938
1573731725.3528008,584947,178.99588012695312
1573731726.5688007,585947,73.59258270263672
1573731730.8048007,588465,125.3564453125
1573731741.4778006,594234,203.5718994140625
1573731744.8628008,596425,209.2495880126953
1573731760.038801,603736,151.57748413085938
1573731764.3898008,606347,211.87728881835938
1573731768.8428009,608673,250.18031311035156
1573731769.9808009,609673,106.27083587646484
1573731783.5058007,616014,233.79910278320312
1573731784.0528007,616406,220.13185119628906
1573731786.7008007,618555,210.5513916015625
1573731787.6948009,619389,203.7440643310547
1573731788.1998007,619782,196.5609130859375
1573731789.463801,620222,201.27346801757812
1573731792.9458008,623287,211.25608825683594
1573731793.1748009,623575,232.31724548339844
1573731796.706801,625229,237.18234252929688
1573731797.1458006,625598,188.91796875
1573731804.3078008,630350,226.9133758544922
1573731807.7518008,632467,111.50855255126953
1573731808.978801,633148,215.23153686523438
1573731810.0098007,634327,-182.773193359375
1573731810.1398008,634513,-21.32061767578125
1573731813.7208009,637533,227.2343292236328
1573731814.7998009,638710,174.27842712402344
1573731820.2578008,642374,226.5882110595703
1573731821.999801,643314,202.21339416503906
1573731826.815801,645949,243.5457305908203
1573731827.2858007,646373,238.51284790039062
1573731830.9848008,649340,214.67962646484375
1573731835.8288007,652887,129.86399841308594
1573731843.0878007,657927,244.9895782470703
1573731843.5368009,658422,212.55906677246094
1573731847.2278008,660822,220.06912231445312
1573731849.7518008,662408,221.51571655273438
1573731851.7408009,663645,213.5665283203125
1573731854.2648008,665267,200.11830139160156
1573731856.3858006,667225,226.44528198242188
1573731857.8018007,668019,215.5232391357422
1573731860.4738007,670175,240.31387329101562
1573731861.2638009,670745,225.01467895507812
1573731861.9118009,671196,184.1246795654297
1573731865.259801,673718,187.5709991455078
1573731869.1818006,676485,210.24888610839844
1573731870.5148008,678011,250.75784301757812
1573731871.4178007,678540,211.69761657714844
1573731871.798801,678997,270.6290588378906
1573731876.758801,682291,204.66943359375
1573731880.6568007,684695,-21.587541580200195
1573731887.3428009,690351,141.84326171875
1573731887.8038008,690934,175.64373779296875
1573731897.983801,699275,209.52566528320312
1573731898.6198008,699788,267.37353515625
1573731901.238801,701470,252.40647888183594
1573731901.6628008,701806,217.71908569335938
1573731902.147801,702225,207.9086151123047
1573731915.134801,710365,201.4899139404297
1573731916.519801,711806,222.0947723388672
1573731919.6948009,714210,226.6597137451172
1573731920.126801,714547,227.49957275390625
1573731923.3598008,716817,224.55654907226562
1573731923.8958008,717378,224.09539794921875
1573731925.7718008,718965,246.17694091796875
1573731926.5838008,719620,217.59994506835938
1573731927.999801,720315,240.5850830078125
1573731928.9478009,721411,229.76797485351562
1573731935.4708009,726815,179.93222045898438
1573731936.2498007,727398,222.02638244628906
1573731937.9748008,728732,195.94561767578125
1573731940.654801,731141,240.20465087890625
1573731941.5378008,732000,224.29660034179688
1573731943.0088007,733412,218.72280883789062
1573731943.3668008,733896,252.63641357421875
1573731945.2248008,735436,190.65646362304688
1573731946.6998007,736479,205.3583221435547
1573731949.5708008,738936,222.25294494628906
1573731953.6448007,742615,71.45486450195312
1573731956.3648007,744922,188.31787109375
1573731957.6778007,746371,197.62400817871094
1573731958.835801,747274,5.610632419586182
1573731959.1528008,747690,250.31675720214844
1573731959.479801,747994,216.91624450683594
1573731959.5998008,748168,17.081472396850586
1573731962.0688007,750195,229.45191955566406
1573731966.7138007,753669,232.61952209472656
1573731967.5808008,754393,230.4136199951172
1573731968.443801,755303,221.80374145507812
1573731968.722801,755497,19.472370147705078
1573731970.1238008,756515,223.69227600097656
1573731972.703801,758732,190.58694458007812
1573731973.5678008,759468,167.05294799804688
1573731974.7548008,760283,238.62762451171875
1573731975.9518008,761174,218.30857849121094
1573731976.8818007,762090,210.39883422851562
1573731977.183801,762382,241.7484893798828
1573731986.206801,769444,240.20562744140625
1573731991.9858007,773947,221.5566864013672
1573731995.3998008,775692,229.07252502441406
1573732002.114801,781062,258.93255615234375
1573732002.8228009,781851,215.126708984375
1573732003.430801,782132,199.89549255371094
1573732003.8658006,782652,219.79969787597656
1573732004.1638007,782939,209.06387329101562
1573732010.111801,788393,202.07015991210938
1573732011.2308009,789377,207.999267578125
1573732011.3688009,789583,239.3295440673828
1573732013.423801,791199,242.9990997314453
1573732014.039801,791963,223.5259246826172
1573732015.5128007,793478,147.12351989746094
1573732016.1298008,794164,232.74961853027344
1573732017.4348009,795197,263.8983459472656
1573732018.7098007,796395,240.13296508789062
1573732019.8528008,797410,216.51699829101562
1573732026.167801,803749,233.95462036132812
1573732026.4938006,804060,243.69354248046875
1573732029.6918008,807132,211.3592987060547
1573732031.9818008,809242,248.93682861328125
1573732032.1028008,809449,239.47215270996094
