Wall time,Step,Value
1556226577.9290004,131,-9.180888175964355
1556226578.1290004,426,-8.086158752441406
1556226578.2090003,561,-7.645520210266113
1556226578.4490004,926,-6.324985027313232
1556226578.4790006,971,-8.804903984069824
1556226578.5290005,1038,-8.123969078063965
1556226578.6430006,1219,-9.99062728881836
1556226578.6830006,1283,-10.052658081054688
1556226578.9300003,1620,-7.6044511795043945
1556226578.9740005,1685,-7.225766181945801
1556226579.2690005,2128,-9.460211753845215
1556226579.3900003,2306,-6.1573896408081055
1556226579.4430006,2396,-9.119940757751465
1556226579.7350006,2839,-7.752690315246582
1556226579.9450004,3125,-9.541305541992188
1556226580.1050005,3369,-7.399783134460449
1556226580.1690004,3477,-9.238483428955078
1556226580.2190006,3544,-9.186692237854004
1556226580.3490005,3746,-7.602960109710693
1556226580.5190005,4000,-7.788891792297363
1556226580.5890005,4111,-9.619220733642578
1556226580.6210005,4156,-9.216893196105957
1556226580.6410005,4179,-8.619417190551758
1556226580.7010005,4269,-8.976340293884277
1556226580.8210003,4456,-7.908886432647705
1556226580.9510007,4655,-9.233526229858398
1556226581.0310006,4767,-9.995603561401367
1556226581.1910005,5011,-8.105202674865723
1556226581.2810004,5151,-7.265442371368408
1556226581.3510005,5260,-9.650731086730957
1556226581.5810006,5596,-9.465044021606445
1556226581.6630006,5730,-7.307842254638672
1556226581.7330005,5839,-7.353859901428223
1556226581.8430007,5995,-8.62874984741211
1556226581.9130003,6088,-8.327051162719727
1556226581.9430006,6133,-8.456725120544434
1556226582.2160006,6554,-8.40869140625
1556226582.2860005,6666,-9.478769302368164
1556226582.3860004,6802,-8.467421531677246
1556226582.4620004,6913,-8.957780838012695
1556226582.4920006,6959,-9.126498222351074
1556226582.6210005,7136,-9.370382308959961
1556226582.7990005,7402,-10.307470321655273
1556226582.9420004,7600,-9.01108455657959
1556226583.0720005,7787,-9.72171401977539
1556226583.3020003,8147,-10.042913436889648
1556226583.3620005,8236,-9.08391284942627
1556226583.5120006,8457,-9.510035514831543
1556226584.1860003,9446,-7.373025894165039
1556226584.1960006,9468,-6.771245956420898
1556226584.4560006,9857,-8.970714569091797
1556226584.4760005,9899,-8.9837646484375
1556226584.4960005,9921,-9.359061241149902
1556226584.5360005,9989,-8.051486015319824
1556226585.5400004,10267,-2.3796658515930176
1556226585.9250004,10377,2.165813446044922
1556226586.0360005,10407,-12.716055870056152
1556226587.3030007,10781,-17.441057205200195
1556226589.6770005,11453,-14.915770530700684
1556226589.9170005,11522,-14.5341796875
1556226594.5230005,12820,-10.911065101623535
1556226595.2450004,13030,-13.883561134338379
1556226597.1520004,13578,-7.396737098693848
1556226598.6120005,13990,-8.493061065673828
1556226599.0820005,14127,-10.073555946350098
1556226599.7840004,14331,-9.855648040771484
1556226601.5230005,14830,-41.704261779785156
1556226603.0520005,15278,-53.55076599121094
1556226607.8810005,16658,57.285858154296875
1556226612.6350005,17990,60.59744644165039
1556226616.7070005,19115,53.40253829956055
1556226618.8140004,19705,11.175069808959961
1556226622.0290005,20609,40.595096588134766
1556226623.3730004,21000,45.97233581542969
1556226625.8530004,21671,-9.803550720214844
1556226626.2230005,21780,-4.258325576782227
1556226630.2000005,22888,294.5726623535156
1556226636.8080006,24735,264.1103820800781
1556226661.3870006,31626,1012.1806640625
1556226665.8550005,32907,1024.9212646484375
1556226692.4380004,40435,326.5614318847656
1556226711.8480005,45953,1034.151611328125
1556226712.4750006,46128,303.9381103515625
1556226716.5480006,47282,1006.7041015625
1556226721.3010004,48628,318.54669189453125
1556226726.0590005,49968,970.4755249023438
1556226742.3370004,54659,140.25784301757812
1556226744.0260005,55129,258.8907165527344
1556226746.3810005,55809,255.517333984375
1556226747.9610004,56243,243.53724670410156
1556226749.9130003,56784,227.52761840820312
1556226751.5910006,57253,254.0983123779297
1556226754.4410005,58029,300.3197021484375
1556226757.7850006,58954,261.1600646972656
1556226775.5970004,63881,279.3981018066406
1556226778.1780005,64606,282.740234375
1556226780.7550006,65281,325.8761901855469
1556226781.1650004,65401,231.69354248046875
1556226784.7190006,66381,258.2157897949219
1556226789.3160005,67676,294.0810241699219
1556226792.1380005,68483,553.6907348632812
1556226802.7450004,71500,553.131591796875
1556226807.1620004,72730,372.3132629394531
1556226810.3110006,73599,441.1388244628906
1556226816.4980004,75358,317.2525329589844
1556226819.4350007,76198,395.68914794921875
1556226819.9590006,76350,305.3914489746094
1556226820.7490005,76572,398.6963195800781
1556226822.2950006,77001,380.9087219238281
1556226822.8090005,77151,306.4012145996094
1556226826.9230006,78317,368.9163513183594
1556226830.2170005,79249,369.861328125
1556226831.7110007,79665,410.3845520019531
1556226834.5930004,80487,333.61505126953125
1556226835.2850006,80682,363.4759521484375
1556226835.8250005,80831,301.63739013671875
1556226838.2150006,81508,355.682861328125
1556226840.7830005,82224,387.8515930175781
1556226843.9630005,83106,315.1455993652344
1556226844.5130005,83266,328.1328125
1556226845.1280005,83442,329.7572326660156
1556226860.2610004,87728,387.8935852050781
1556226863.1030006,88536,419.3975830078125
1556226886.5720005,95158,426.10699462890625
1556226890.3110006,96232,332.6226501464844
1556226891.6980004,96623,398.25054931640625
1556226896.4460003,97981,468.29412841796875
1556226902.5310006,99691,403.4402770996094
1556226906.9090004,100909,390.8833923339844
1556226909.9910007,101765,374.9446716308594
1556226915.2300005,103268,405.1933898925781
1556226916.8460004,103733,406.1244812011719
1556226921.4600005,105057,376.66339111328125
1556226923.0470006,105511,463.9958190917969
1556226934.1030006,108636,306.48504638671875
1556226934.7620003,108823,418.5002136230469
1556226943.2370005,111232,424.3199157714844
1556226945.6030006,111904,384.0406188964844
1556226953.1480005,114065,344.8013000488281
1556226955.6900003,114794,351.907470703125
1556226959.2090003,115795,403.3372497558594
1556226965.6350005,117554,393.4732360839844
1556226966.2750006,117737,354.44384765625
1556226970.7080004,119000,385.6396484375
1556226971.3180003,119175,338.62774658203125
1556226975.3360004,120317,393.81488037109375
1556226984.4030006,122907,537.8709716796875
1556226989.3870006,124324,421.5404052734375
1556226991.5750005,124942,459.86883544921875
1556226998.8390005,127000,482.4379577636719
1556227002.1500003,127924,663.4647827148438
1556227009.0090005,129888,436.60595703125
1556227018.3850005,132573,647.9956665039062
1556227023.4800005,134014,467.92718505859375
1556227034.1990006,137067,745.138916015625
1556227040.2500005,138804,1001.312255859375
1556227043.2050004,139649,539.966796875
1556227044.1420004,139920,486.18841552734375
1556227047.9430006,141025,815.3434448242188
1556227051.8700004,142157,647.0280151367188
1556227054.9860003,143045,911.5092163085938
1556227060.0130005,144456,315.09014892578125
1556227061.0370004,144750,750.6278076171875
1556227069.7440004,147229,550.8971557617188
1556227074.3260005,148563,815.0457153320312
1556227078.2980003,149702,608.4572143554688
1556227079.6250005,150091,944.2203369140625
1556227089.5230005,152903,919.8115234375
1556227093.2780004,153991,511.64190673828125
1556227105.7530005,157585,454.48040771484375
1556227124.2220004,162922,647.2449340820312
1556227124.8910005,163108,441.09356689453125
1556227127.3810005,163836,560.2755737304688
1556227128.1570005,164063,457.73870849609375
1556227128.9310005,164289,409.3591613769531
1556227151.0470006,170705,646.3809814453125
1556227172.6510005,177009,692.4528198242188
1556227173.8730004,177371,695.943359375
1556227184.3330004,180367,2283.994384765625
1556227188.5660005,181579,2157.455810546875
1556227193.3580003,182973,-5.929290771484375
1556227222.6480005,191467,326.8312072753906
1556227226.0640006,192465,663.153076171875
1556227247.5010004,198620,2587.169677734375
1556227260.6900003,202379,146.29977416992188
1556227263.5790005,203208,1083.27392578125
1556227266.7120006,204115,413.0743713378906
1556227289.2400005,210575,81.28226470947266
1556227294.7010005,212154,81.31277465820312
1556227302.6740005,214432,726.391845703125
1556227307.5950005,215823,11.498336791992188
1556227317.8230007,218784,591.123046875
1556227325.8200004,221119,21.316524505615234
1556227330.4410005,222455,788.898193359375
1556227336.2930005,224142,694.283935546875
1556227339.0360005,224911,601.3462524414062
1556227341.8600006,225714,655.5116577148438
1556227344.3070006,226424,624.0117797851562
1556227345.2430005,226699,547.4224853515625
1556227363.6690004,232072,411.5414733886719
1556227378.2720006,236290,865.3676147460938
1556227392.7860005,240522,413.1258544921875
1556227395.3850005,241269,324.8126220703125
1556227396.2250004,241508,484.29986572265625
1556227397.9890006,242030,22.238752365112305
1556227399.2910006,242374,756.13720703125
1556227414.7240005,246847,614.948974609375
1556227417.3180003,247610,331.9881591796875
