Wall time,Step,Value
1556636531.9990005,55,-5.817462921142578
1556636532.1270006,175,-6.436903953552246
1556636532.2130005,239,-11.521498680114746
1556636532.3790007,383,-3.7230663299560547
1556636532.3910005,401,-6.119014263153076
1556636532.4300003,427,-5.012717247009277
1556636532.4420004,446,-4.528691291809082
1556636532.5020003,506,-5.5546488761901855
1556636532.5460005,537,-9.653892517089844
1556636532.7080004,676,-1.2699527740478516
1556636532.7220004,700,1.672467827796936
1556636532.7510006,709,-2.858022928237915
1556636532.8020003,756,-4.036273002624512
1556636532.8710005,835,-1.3447335958480835
1556636532.9630005,909,-3.6642520427703857
1556636533.0390005,998,-2.908141613006592
1556636533.0790005,1024,-2.7155325412750244
1556636533.0840006,1033,-1.574267029762268
1556636533.1600006,1106,-2.9683892726898193
1556636533.2190006,1159,1.3020273447036743
1556636533.3220003,1244,-4.262429237365723
1556636533.4970005,1403,2.396714448928833
1556636533.6310005,1547,7.200448989868164
1556636533.7060003,1615,2.1024553775787354
1556636533.7390006,1673,6.186856746673584
1556636533.8760004,1812,-2.3830044269561768
1556636533.8880005,1835,6.884223937988281
1556636534.0320005,1996,-0.07927287369966507
1556636534.1210005,2109,1.0868972539901733
1556636534.1720004,2142,6.047715187072754
1556636534.1800005,2158,2.8681130409240723
1556636534.2520006,2226,2.7071919441223145
1556636534.4140003,2437,13.364747047424316
1556636534.5910006,2618,3.4806737899780273
1556636534.6110005,2657,5.113859176635742
1556636534.7160006,2787,0.8622989654541016
1556636534.9400005,3063,18.760128021240234
1556636535.1210005,3270,20.9454402923584
1556636535.3040006,3517,7.343344211578369
1556636535.4090004,3718,31.337940216064453
1556636535.9970005,4544,20.716732025146484
1556636536.3160005,5043,7.213403224945068
1556636536.5560005,5378,46.743934631347656
1556636536.7290003,5720,-18.20033836364746
1556636537.1140003,6320,88.09058380126953
1556636537.4160006,6729,68.94322204589844
1556636537.5090005,6895,16.994693756103516
1556636538.8170004,8783,23.566007614135742
1556636539.2890005,9411,134.65464782714844
1556636539.3670006,9545,235.0758514404297
1556636539.9440005,10413,95.0022964477539
1556636540.4620004,11193,70.02322387695312
1556636540.6710005,11406,18.274600982666016
1556636541.4380004,12612,297.008544921875
1556636541.5920005,12716,186.44065856933594
1556636542.4150007,14056,298.9345397949219
1556636542.8390005,14619,209.89120483398438
1556636543.6730003,15887,221.5526123046875
1556636544.3800006,17061,69.56448364257812
1556636546.1640005,19860,206.8390655517578
1556636546.5870006,20447,244.99673461914062
1556636547.2250004,21456,89.6510238647461
1556636547.6990006,22103,222.05624389648438
1556636547.9460003,22397,191.93563842773438
1556636549.3140004,24534,224.847412109375
1556636551.1650004,27259,282.35430908203125
1556636552.8630006,29695,177.6466064453125
1556636552.9500003,29855,286.1983947753906
1556636553.1970005,30120,263.28948974609375
1556636554.0750005,31464,366.7313537597656
1556636555.1460004,32999,284.686767578125
1556636555.4690003,33580,382.7820129394531
1556636555.5470006,33725,259.7898254394531
1556636555.8970006,34162,241.2023162841797
1556636556.7050004,35381,86.15819549560547
1556636557.8620005,36880,300.6534423828125
1556636558.1740005,37435,363.3103942871094
1556636558.4110005,37659,341.3376770019531
1556636559.4480004,39121,233.60693359375
1556636561.6320004,42249,208.70806884765625
1556636561.8650005,42629,328.28961181640625
1556636563.6660004,45227,309.62908935546875
1556636564.3040006,46070,266.2024230957031
1556636564.6520004,46513,326.5497131347656
1556636564.9590006,47052,270.0286560058594
1556636566.0720005,48551,292.7962341308594
1556636566.7630005,49580,302.4172058105469
1556636566.9970005,49941,355.3302001953125
1556636567.4220004,50467,284.3595886230469
1556636568.1950006,51607,94.03787231445312
1556636569.0300004,52625,101.89653778076172
1556636570.5070007,54554,470.7992248535156
1556636571.3080006,55560,60.799560546875
1556636572.0970004,56541,212.45606994628906
1556636572.5860004,57370,29.413095474243164
1556636573.4320004,58374,290.9626770019531
1556636573.6610005,58754,369.3601989746094
1556636573.8360004,59046,423.1706848144531
1556636574.1890004,59396,318.65081787109375
1556636574.3960006,59758,326.3899230957031
1556636574.5450006,59993,86.80436706542969
1556636575.3200004,61113,565.2704467773438
1556636575.6010005,61581,582.7567138671875
1556636576.8710005,63201,262.68878173828125
1556636577.7110007,64391,269.06390380859375
1556636578.0370004,64718,277.38037109375
1556636578.8180003,65826,451.986572265625
1556636579.3280005,66545,209.42709350585938
1556636579.5000005,66869,271.9220275878906
1556636581.0850005,69108,315.2150573730469
1556636582.0040004,70611,542.5713500976562
1556636582.0940003,70770,270.1210021972656
1556636582.4150007,71116,286.21563720703125
1556636582.6410005,71520,269.1656799316406
1556636582.7280004,71680,263.32391357421875
1556636583.1260004,72123,333.5887756347656
1556636584.5750005,74326,399.0916442871094
1556636585.0730004,74976,289.673583984375
1556636585.5160005,75746,327.5962219238281
1556636585.9000006,76240,267.06365966796875
1556636586.3230007,76759,249.47206115722656
1556636586.8170004,77647,322.64849853515625
1556636587.0640006,77869,363.8515319824219
1556636587.6280005,78850,285.8910827636719
1556636588.4170005,79972,318.8102111816406
1556636588.6390007,80149,314.2709655761719
1556636590.1820004,82474,407.8753662109375
1556636590.6700003,83331,363.8316955566406
1556636591.1160004,83898,277.0015563964844
1556636592.3090005,85570,308.95068359375
1556636592.7800004,86409,333.97955322265625
1556636593.2950006,87065,442.5546569824219
1556636593.3780005,87209,267.7301940917969
1556636593.5490005,87503,167.49075317382812
1556636594.6280005,88917,293.3916015625
1556636595.3260005,89970,260.6244812011719
1556636595.5560005,90383,321.56610107421875
1556636595.7680006,90560,294.0025329589844
1556636596.1990006,91339,284.1394348144531
1556636596.7770004,92146,278.4459228515625
1556636597.1730003,92665,309.7823791503906
1556636597.2790005,92847,309.2106628417969
1556636597.3770003,93025,312.3993225097656
1556636597.9200006,93814,327.157470703125
