Wall time,Step,Value
1559049639.1990006,559,-2.029956817626953
1559049640.3420005,1559,-604.2941284179688
1559049643.3770003,3776,-51.00123596191406
1559049643.5060003,3798,-9.935644149780273
1559049645.4340005,5519,-645.6546020507812
1559049645.8040006,5634,-63.43986892700195
1559049649.5980003,8634,-511.2725830078125
1559049650.0560005,8831,-90.53633117675781
1559049651.0870006,9831,-550.0137939453125
1559049652.8940003,11072,-9.654345512390137
1559049659.9610004,16623,-476.008544921875
1559049661.5300004,17946,-11.524449348449707
1559049661.8590007,18204,-40.168609619140625
1559049662.1080005,18416,-3.716094493865967
1559049662.3970006,18704,-123.15872192382812
1559049662.6640005,18904,-59.15447235107422
1559049662.9650004,19119,-156.6624755859375
1559049663.2640004,19313,-63.01749038696289
1559049663.2870007,19332,-4.740090847015381
1559049664.7290003,20464,-390.27935791015625
1559049664.8260005,20574,-24.85699462890625
1559049665.1830006,20846,-26.7426815032959
1559049666.2020004,21846,-438.1764831542969
1559049666.6370006,22007,-54.93625259399414
1559049669.7490005,24412,-360.2989501953125
1559049669.9650004,24543,-24.20108985900879
1559049670.3320005,24788,-65.88654327392578
1559049671.5400004,25788,-394.95416259765625
1559049672.3020003,26224,-96.112548828125
1559049672.3430007,26262,-8.58957290649414
1559049674.4330006,27810,30.545896530151367
1559049675.5160005,28810,-358.83453369140625
1559049675.9940004,28976,-71.76393127441406
1559049677.2990005,29976,-406.026123046875
1559049683.3610005,34976,-304.0980529785156
1559049686.9000006,37864,-173.6273193359375
1559049688.7680006,39347,-58.10939025878906
1559049689.6980004,40347,-281.727294921875
1559049694.1250005,44012,-310.6302490234375
1559049699.8150005,48404,-74.44390869140625
1559049702.1190007,50294,-220.9827423095703
1559049702.1550007,50330,10.244091987609863
1559049706.1710005,53392,14.492895126342773
1559049709.1600006,56089,-299.43475341796875
1559049710.9950006,57573,-80.14215087890625
1559049714.6620004,60450,26.632652282714844
1559049715.9270005,61450,-312.053955078125
1559049716.9650004,62450,-159.27674865722656
1559049717.9400005,63025,0.6571090817451477
1559049718.4990005,63559,-5.427926540374756
1559049722.0660005,66370,-207.31991577148438
1559049723.3510005,67448,9.512642860412598
1559049724.7650003,68532,-173.55784606933594
1559049725.8120005,69532,-72.56720733642578
1559049726.0520005,69587,-3.964935064315796
1559049726.1020005,69643,-19.18000602722168
1559049728.6270006,71643,33.10895919799805
1559049734.1000006,75961,-41.18247604370117
1559049735.6220005,77226,-39.09727096557617
1559049736.6110005,78226,-115.47805786132812
1559049737.0180004,78444,28.578582763671875
1559049737.8690004,79233,-2.507143497467041
1559049739.2620003,80485,-20.831106185913086
1559049739.6530004,80847,34.85136413574219
1559049739.9760005,81193,32.94720458984375
1559049742.6410005,83506,9.698224067687988
1559049747.1830006,87221,-64.71407318115234
1559049747.5860004,87390,-34.57802200317383
1559049748.3520005,88094,-126.78132629394531
1559049749.6960006,89294,55.3254280090332
1559049751.6800005,90798,-31.106061935424805
1559049752.5380003,91530,-51.30586242675781
1559049753.0260005,91956,6.8193278312683105
1559049754.8010004,93354,62.840843200683594
1559049756.8850005,95153,-47.90410232543945
1559049758.2870007,96153,13.389242172241211
1559049763.6400006,100357,-4.973095417022705
1559049768.2610004,104160,52.0798454284668
1559049768.9680004,104553,80.6207504272461
1559049769.1090004,104698,15.118041038513184
1559049771.9100003,107124,-6.654104709625244
1559049776.6640005,110872,-26.843469619750977
1559049778.6440005,112478,-43.13914489746094
1559049779.8810005,113478,98.37968444824219
1559049781.5720005,114890,20.99139404296875
1559049782.1590006,115351,33.64632034301758
1559049782.8610005,115990,78.41447448730469
1559049783.8880005,116955,45.74492263793945
1559049784.5050004,117431,91.92008972167969
1559049785.0360005,118002,95.15184020996094
1559049786.2610004,118964,25.072797775268555
1559049792.3140004,124094,166.8240509033203
1559049793.5990007,125135,-10.63942813873291
1559049798.9630005,129608,139.86575317382812
1559049800.7270005,131196,71.83163452148438
1559049800.8980005,131283,23.777074813842773
1559049801.1320004,131484,12.820499420166016
1559049801.2120006,131514,-0.7783977389335632
1559049802.4540005,132542,7.936465263366699
1559049803.4950006,133448,34.840354919433594
1559049804.8710005,134564,190.51283264160156
1559049805.5880005,135166,143.18008422851562
1559049807.0570004,136351,106.71533966064453
1559049809.6580005,138435,23.274078369140625
1559049810.5420003,139204,48.297119140625
1559049811.6770005,140100,44.41581344604492
1559049814.8480005,142657,2.7886528968811035
1559049814.8700004,142675,-3.960134267807007
1559049817.2370005,144610,190.16134643554688
1559049818.2750006,145610,195.88796997070312
1559049818.8150005,145900,148.21568298339844
1559049819.1760006,146195,49.52669906616211
1559049819.8200004,146892,60.92714309692383
1559049820.8010004,147637,237.44921875
1559049821.3780005,148111,40.543182373046875
1559049822.4410005,149111,128.2571258544922
1559049823.3750005,149742,20.467350006103516
1559049823.7020004,150006,36.40773391723633
1559049825.3490005,151328,55.006229400634766
1559049825.4780004,151475,60.863677978515625
1559049826.7190006,152475,137.6400146484375
1559049826.7440004,152502,6.200291633605957
1559049827.2560005,152918,78.6177978515625
1559049830.8760004,155918,221.45204162597656
1559049830.9690003,155999,25.540477752685547
1559049832.2260003,156999,250.33148193359375
1559049833.9770005,158437,9.100166320800781
1559049834.0550005,158476,23.547115325927734
1559049836.4910007,160476,117.54534149169922
1559049840.5900004,163777,20.03419303894043
1559049841.9050004,164855,145.68960571289062
1559049843.3040006,166027,238.85714721679688
1559049844.8090005,167027,180.7998504638672
1559049845.8520005,167880,163.7809295654297
1559049847.0200005,168880,309.8482360839844
1559049849.7810004,170844,-13.015398979187012
1559049850.5090005,171509,223.92787170410156
1559049855.4540005,175300,264.9017028808594
1559049857.3280005,176539,59.75290298461914
