Wall time,Step,Value
1559047912.9380004,6000,-417.37921142578125
1559047913.3420005,7000,-516.5785522460938
1559047915.6920006,11000,-616.4198608398438
1559047916.3790007,12000,-420.1201477050781
1559047917.5160005,14000,-364.0101623535156
1559047918.0610003,15000,-268.1805725097656
1559047918.7520006,16000,-351.1278381347656
1559047919.8900003,18000,-376.3916320800781
1559047920.3870006,19000,-292.6950988769531
1559047921.1010005,20000,-272.8208923339844
1559047921.5120006,21000,-358.29376220703125
1559047923.8880005,25000,-154.40487670898438
1559047929.7660003,34000,-264.395263671875
1559047930.2030005,35000,-256.91180419921875
1559047931.3480005,37000,-180.0923309326172
1559047933.2610004,40000,-254.06240844726562
1559047933.6920006,41000,-180.37210083007812
1559047934.9750006,43000,-200.95652770996094
1559047936.1690004,45000,-111.04517364501953
1559047936.9800005,46000,-106.76831817626953
1559047938.2190006,48000,-121.97724151611328
1559047939.3660004,50000,-174.52523803710938
1559047940.0110006,51000,-251.87680053710938
1559047941.9820004,54000,-138.21104431152344
1559047942.5920005,55000,-123.93461608886719
1559047943.3410006,56000,-126.99351501464844
1559047943.7680006,57000,-157.25604248046875
1559047944.4940004,58000,-117.9926528930664
1559047946.2540004,61000,-139.67886352539062
1559047946.9640005,62000,-84.56330871582031
1559047948.2670007,64000,-119.51942443847656
1559047949.4090004,66000,-37.04561233520508
1559047949.9220004,67000,-239.82289123535156
1559047950.6570005,68000,-150.7211151123047
1559047951.0840006,69000,-81.77793884277344
1559047953.1530004,72000,-94.99744415283203
1559047953.6040006,73000,-134.53712463378906
1559047954.3660004,74000,-100.62451934814453
1559047954.8570004,75000,-103.24783325195312
1559047956.2040005,77000,12.090842247009277
1559047958.1750007,80000,-90.60885620117188
1559047960.9660003,85000,-69.55963134765625
1559047961.6540003,86000,-5.2283477783203125
1559047962.0590005,87000,-62.59175109863281
1559047962.8720005,88000,-52.6799201965332
1559047963.3020003,89000,-27.532991409301758
1559047963.9740005,90000,-27.487314224243164
1559047966.8040006,95000,48.09653091430664
1559047972.0560005,103000,63.665367126464844
1559047974.2800004,106000,52.578529357910156
1559047974.7680006,107000,-13.945638656616211
1559047979.4150007,114000,49.289588928222656
1559047981.1980004,117000,72.20658874511719
1559047982.4310005,119000,176.082763671875
1559047983.3420005,120000,1.6842327117919922
1559047983.8340003,121000,117.69844818115234
1559047986.5180004,125000,113.97179412841797
1559047987.3170004,126000,193.59262084960938
1559047987.8050005,127000,237.81289672851562
1559047989.8140004,130000,111.32697296142578
1559047990.2420003,131000,130.4130859375
1559047992.3060005,134000,202.42803955078125
1559047994.8910005,138000,226.623291015625
1559047996.1030006,140000,293.02276611328125
1559047997.4450004,142000,315.7772521972656
1559047997.9460003,143000,315.9197082519531
1559047998.7840004,144000,221.0785675048828
1559047999.4370005,145000,135.2576446533203
1559048001.9910007,149000,271.312255859375
1559048003.2230005,151000,258.850341796875
1559048005.2430005,154000,361.5166015625
1559048005.6790006,155000,383.4317626953125
1559048006.4470005,156000,215.3173828125
1559048007.7770004,158000,216.16259765625
1559048008.2490005,159000,222.31057739257812
1559048008.9950006,160000,305.48358154296875
1559048010.7300005,163000,270.0950622558594
1559048011.9960005,165000,311.88482666015625
1559048012.7480006,166000,383.1148376464844
1559048014.0160005,168000,365.02984619140625
1559048014.4750006,169000,342.903076171875
1559048016.5310006,172000,308.1214599609375
1559048019.5930004,177000,338.6894836425781
1559048020.3130004,178000,271.5909729003906
1559048020.7990005,179000,514.2183227539062
1559048022.0550005,181000,263.26287841796875
1559048022.8020003,182000,370.14019775390625
1559048024.1110005,184000,317.1917419433594
1559048025.3320005,186000,348.6139831542969
1559048025.7520006,187000,-276.21710205078125
1559048026.5080006,188000,198.56851196289062
1559048026.9350007,189000,492.98870849609375
1559048028.2470007,191000,336.63323974609375
1559048028.9860003,192000,453.4214782714844
1559048033.2660003,199000,227.11224365234375
1559048035.7110007,203000,299.08489990234375
1559048038.1590006,207000,440.6286315917969
1559048038.9090004,208000,605.6538696289062
1559048039.3660004,209000,484.8873596191406
1559048041.8200004,213000,496.13671875
1559048043.7230005,216000,280.8182678222656
1559048045.2070005,219000,395.1505126953125
1559048045.9850004,220000,581.7290649414062
1559048047.5600004,223000,351.25592041015625
1559048048.2840004,224000,409.2874450683594
1559048049.4560006,226000,637.454345703125
1559048049.8960006,227000,569.29296875
1559048050.7140005,228000,609.8453369140625
1559048051.8450005,230000,565.9611206054688
1559048052.2610004,231000,488.5229797363281
1559048053.6130004,233000,511.7638854980469
1559048054.3240006,234000,465.01104736328125
1559048054.8670006,235000,532.096435546875
1559048056.8150005,238000,492.6191711425781
1559048058.3810005,241000,641.6755981445312
1559048061.6780005,246000,271.8396911621094
1559048062.8510005,248000,613.5125732421875
1559048064.0110006,250000,720.5623779296875
1559048064.4150007,251000,570.7796630859375
1559048067.5440006,256000,593.3595581054688
1559048069.1260004,259000,533.2066650390625
1559048069.8260005,260000,690.8624267578125
1559048070.2580004,261000,749.5098266601562
1559048071.0750005,262000,702.86328125
1559048072.1860003,264000,378.50653076171875
1559048074.4620004,268000,643.6718139648438
1559048075.6530004,270000,586.170166015625
1559048076.7450004,272000,539.8347778320312
1559048077.8960006,274000,470.5668640136719
1559048080.7370005,279000,521.505615234375
1559048081.8380003,281000,519.5950927734375
1559048084.1770005,285000,664.1909790039062
1559048087.1460004,290000,674.4052734375
1559048088.3110006,292000,494.41595458984375
1559048088.7220004,293000,598.6956787109375
1559048090.6310005,296000,636.4712524414062
1559048091.8140004,298000,695.6802978515625
1559048092.2660003,299000,689.7141723632812
1559048093.0090005,300000,613.1149291992188
1559048094.2020004,302000,541.199462890625
1559048094.6670005,303000,740.6912231445312
1559048095.3820004,304000,720.38671875
1559048097.7190006,308000,742.4141845703125
1559048098.1330004,309000,726.886962890625
1559048099.4170005,311000,694.2561645507812
1559048101.2210004,314000,752.560791015625
1559048103.5420003,318000,792.3343505859375
1559048103.9500003,319000,739.4969482421875
1559048104.7820003,320000,779.9779052734375
1559048105.1940005,321000,780.269287109375
1559048106.3390005,323000,741.7536010742188
1559048108.2180004,326000,597.5927124023438
1559048108.6540003,327000,683.546142578125
1559048109.4630005,328000,704.8660278320312
1559048111.0430005,331000,682.8048095703125
1559048111.8220003,332000,772.9531860351562
1559048112.9910007,334000,809.1748657226562
1559048116.4980004,340000,743.489990234375
1559048117.6900003,342000,695.8595581054688
1559048119.2560005,345000,717.7621459960938
1559048119.9900005,346000,754.08984375
1559048121.0860004,348000,717.4888916015625
1559048121.5070007,349000,747.3187866210938
1559048124.7000005,354000,661.8932495117188
1559048125.1060004,355000,779.2511596679688
1559048126.1910005,357000,754.18701171875
1559048127.3910005,359000,684.4014892578125
1559048128.1200006,360000,744.15283203125
1559048128.5270007,361000,801.0686645507812
1559048130.3080006,364000,784.9889526367188
1559048130.8300004,365000,680.1530151367188
1559048132.6230006,368000,735.2515869140625
1559048133.1310005,369000,826.871337890625
1559048134.2110007,371000,661.8889770507812
1559048134.9700003,372000,792.3162231445312
1559048136.1090004,374000,895.629638671875
1559048138.3890004,378000,842.1760864257812
1559048138.8250005,379000,940.8360595703125
1559048139.5040004,380000,870.6845703125
1559048140.7360005,382000,822.8290405273438
1559048141.1900003,383000,806.5565185546875
1559048143.1580005,386000,900.0720825195312
1559048143.5580003,387000,796.7160034179688
1559048144.2350006,388000,657.326904296875
1559048144.6520004,389000,882.765380859375
1559048145.8410006,391000,845.9309692382812
1559048146.5290005,392000,884.339111328125
1559048146.9640005,393000,741.8050537109375
1559048147.7550006,394000,602.0947875976562
1559048152.8680005,403000,863.086669921875
1559048153.5280006,404000,759.0952758789062
1559048154.7880006,406000,807.7568359375
1559048156.4050004,409000,765.6405029296875
1559048160.5730004,416000,822.1990356445312
1559048161.0020003,417000,774.4259033203125
1559048163.3510005,421000,740.9119262695312
1559048164.0380003,422000,853.9296264648438
1559048164.6050005,423000,753.7114868164062
1559048165.6820004,425000,902.7445678710938
1559048166.9450004,427000,762.6306762695312
1559048169.4050004,431000,823.2633056640625
1559048175.0690005,440000,923.2384033203125
1559048175.5800004,441000,721.6835327148438
1559048176.3150005,442000,915.6036376953125
1559048176.7210004,443000,884.4541015625
1559048177.8850005,445000,909.0472412109375
1559048178.6620004,446000,833.1486206054688
1559048180.3440006,449000,829.8572387695312
1559048182.3970006,452000,868.1964111328125
1559048186.5950005,459000,909.436279296875
1559048187.2820003,460000,825.537353515625
1559048187.7200005,461000,752.6602783203125
1559048188.5690005,462000,791.87060546875
1559048189.7730005,464000,923.262451171875
1559048190.2040005,465000,809.796630859375
1559048191.0110006,466000,755.39111328125
1559048192.1610005,468000,773.0037231445312
1559048192.5920005,469000,848.1881713867188
1559048193.4440005,470000,773.3593139648438
1559048194.6030006,472000,857.8250122070312
1559048195.9220004,474000,875.0817260742188
1559048196.3450005,475000,724.5490112304688
1559048199.1070006,479000,884.8318481445312
1559048203.8840005,486000,914.4221801757812
1559048205.5100005,489000,992.7767333984375
1559048206.3130004,490000,862.72021484375
1559048207.4190006,492000,900.3438720703125
1559048208.8240006,494000,911.7455444335938
1559048210.4570005,497000,871.1608276367188
1559048217.6260004,508000,746.959716796875
1559048219.3280005,511000,801.8569946289062
1559048220.0790005,512000,901.0625
1559048220.5850005,513000,842.2343139648438
1559048221.7450004,515000,892.9158935546875
1559048223.0880005,517000,896.6406860351562
1559048223.8070006,518000,877.9389038085938
1559048224.9510007,520000,851.3456420898438
1559048227.7650003,525000,818.939453125
1559048228.5650005,526000,941.00927734375
1559048231.9940004,532000,946.1683349609375
1559048233.2070005,534000,853.9078979492188
1559048233.6140003,535000,850.4525146484375
1559048234.3690004,536000,878.2982788085938
1559048234.7880006,537000,949.165771484375
1559048235.5930004,538000,928.3790283203125
1559048236.0280006,539000,944.889892578125
1559048236.7040005,540000,893.8297119140625
1559048237.1390007,541000,857.831787109375
1559048237.8880005,542000,1019.616455078125
1559048238.3790007,543000,921.5653686523438
1559048239.5110006,545000,915.859619140625
1559048241.4460003,548000,878.076904296875
1559048241.8540003,549000,937.5415649414062
1559048242.7400005,550000,842.52734375
1559048243.8780005,552000,916.6287231445312
1559048246.3010004,556000,918.228759765625
1559048247.6310005,558000,868.000244140625
1559048248.8260005,560000,949.589111328125
1559048251.3130004,564000,931.8949584960938
1559048251.7670007,565000,985.3175659179688
1559048252.5090005,566000,921.5682373046875
1559048253.8410006,568000,912.2733154296875
1559048254.9770005,570000,992.3302612304688
1559048256.3220003,572000,888.0278930664062
1559048257.5410004,574000,926.2391357421875
1559048257.9860003,575000,962.0972290039062
1559048259.9930005,578000,905.912353515625
1559048261.2170005,580000,916.945556640625
1559048261.6930006,581000,918.7073974609375
1559048262.4660003,582000,959.8223266601562
1559048262.9090004,583000,983.9508056640625
1559048263.5930004,584000,869.885009765625
1559048264.0090005,585000,903.6399536132812
1559048265.2060003,587000,899.1038818359375
1559048265.9390006,588000,951.3329467773438
1559048268.8460004,593000,910.4260864257812
1559048269.6600006,594000,938.6572875976562
1559048270.8720005,596000,1021.018798828125
1559048271.3860004,597000,855.876708984375
1559048272.1010005,598000,938.2026977539062
1559048273.8980005,601000,902.1878662109375
1559048275.0830007,603000,933.771728515625
1559048276.3470006,605000,845.1806030273438
1559048277.5320005,607000,876.7012939453125
1559048278.9070005,609000,929.169921875
1559048280.0900004,611000,843.117431640625
1559048280.8350005,612000,939.3529052734375
1559048281.3290005,613000,905.4896850585938
1559048283.2760005,616000,839.8656005859375
1559048285.5980003,620000,871.3889770507812
1559048286.1060004,621000,882.2703857421875
1559048287.2770004,623000,937.0087890625
1559048287.9970005,624000,934.6151733398438
1559048289.2220004,626000,943.5995483398438
1559048291.6020005,630000,947.4073486328125
1559048294.4200006,635000,922.7212524414062
1559048298.7330005,642000,886.2113037109375
1559048299.1690004,643000,840.8759765625
1559048300.2770004,645000,928.1651000976562
1559048301.0950005,646000,-782.8809204101562
1559048301.5070007,647000,969.7538452148438
1559048302.1840005,648000,960.39306640625
1559048302.5850005,649000,942.1119384765625
1559048303.3760004,650000,931.94384765625
1559048304.5020003,652000,950.0277099609375
1559048304.9080005,653000,820.161865234375
1559048307.2800004,657000,970.9075317382812
1559048307.9410005,658000,904.890869140625
1559048309.2550006,660000,884.0840454101562
1559048310.3690004,662000,858.9544677734375
1559048311.9930005,665000,910.4689331054688
1559048313.1680005,667000,867.989990234375
1559048313.8520005,668000,932.6612548828125
1559048314.2950006,669000,842.8541870117188
1559048316.2230005,672000,881.0197143554688
1559048316.6310005,673000,857.7183227539062
1559048317.4440005,674000,765.475341796875
1559048317.8550005,675000,904.5178833007812
1559048318.5940003,676000,912.9088134765625
1559048319.7510006,678000,859.99609375
1559048320.1640005,679000,945.234619140625
1559048320.9550006,680000,891.1226806640625
1559048322.0530005,682000,894.3236694335938
1559048322.5420003,683000,953.0950317382812
1559048323.4520006,684000,978.2591552734375
1559048323.9830005,685000,953.6259765625
1559048324.6840005,686000,955.9102783203125
1559048325.0990007,687000,939.524658203125
1559048326.4590006,689000,939.978515625
1559048327.1950006,690000,1018.2105712890625
1559048328.8960006,693000,998.4678344726562
1559048331.1750007,697000,888.3601684570312
1559048332.9820004,700000,875.7974853515625
1559048333.4150007,701000,957.354736328125
1559048334.1650004,702000,951.3358154296875
1559048335.2690005,704000,884.3674926757812
1559048335.6960006,705000,885.453125
1559048336.4850004,706000,1001.0004272460938
1559048336.8860004,707000,1022.84423828125
1559048338.0060003,709000,944.0291137695312
1559048338.8300004,710000,900.0196533203125
1559048339.2410004,711000,932.0682373046875
1559048341.5840006,715000,949.8895263671875
1559048343.9030006,719000,924.7401733398438
1559048344.6860003,720000,937.7147216796875
1559048345.8430007,722000,936.741455078125
1559048346.3060005,723000,883.9557495117188
1559048347.0030005,724000,984.6266479492188
1559048347.4060004,725000,958.8960571289062
1559048348.1480005,726000,945.9811401367188
