Wall time,Step,Value
1558966692.286413,107,-4.02778434753418
1558966692.9988937,336,-5.388920307159424
1558966693.2842803,431,-6.628438472747803
1558966694.0891292,692,-9.740656852722168
1558966694.1973274,719,-4.639392852783203
1558966694.3747382,765,-4.476302146911621
1558966694.767575,895,-5.454583644866943
1558966694.9379666,952,-7.597169876098633
1558966695.7319636,1191,-5.195549964904785
1558966695.8571513,1222,-8.993802070617676
1558966696.771953,1549,-7.280320167541504
1558966697.0680158,1675,-5.757852554321289
1558966697.1845744,1719,-11.913717269897461
1558966697.2047973,1731,-5.6025800704956055
1558966698.0116649,2017,-7.21725606918335
1558966698.6756198,2241,-7.50640344619751
1558966699.208477,2412,-7.568849086761475
1558966699.5081215,2482,-5.00277853012085
1558966699.6430545,2533,-7.542903423309326
1558966700.0231938,2678,-6.5727458000183105
1558966700.3516252,2829,-5.234292507171631
1558966700.699156,2929,-3.212672710418701
1558966700.8333943,2965,-2.6682565212249756
1558966700.8841772,2979,-6.853989601135254
1558966701.0518415,3036,-6.636193752288818
1558966701.3479984,3148,-9.815606117248535
1558966701.6609082,3272,-2.8071682453155518
1558966701.7016885,3289,-8.572360038757324
1558966701.9615245,3374,-8.335408210754395
1558966702.4847786,3547,-2.4258432388305664
1558966702.6553454,3631,-6.1586198806762695
1558966702.8339536,3699,-4.824274063110352
1558966703.4770641,3976,-8.801796913146973
1558966703.749502,4066,-7.727295398712158
1558966703.8766415,4141,-5.478184700012207
1558966704.2276978,4260,-5.658751487731934
1558966704.3716757,4320,-3.891343116760254
1558966704.4401495,4348,-6.271980285644531
1558966705.3015904,4673,-8.748235702514648
1558966705.489538,4744,-6.5552144050598145
1558966705.7110302,4844,-14.013958930969238
1558966705.9005103,4901,-6.1295857429504395
1558966705.9844515,4929,-7.708026885986328
1558966707.8660398,5043,-7.993339538574219
1558966708.3667357,5056,-3.6321303844451904
1558966709.2072196,5202,-8.924656867980957
1558966709.930291,5340,-4.840507507324219
1558966710.4925907,5468,-6.342523574829102
1558966712.1721413,5763,-5.585829734802246
1558966712.5287936,5828,-4.174054145812988
1558966713.574169,5999,-4.822604179382324
1558966717.5088775,6670,-3.311047077178955
1558966717.5965466,6690,-5.794037818908691
1558966719.2754433,6955,-2.7993149757385254
1558966719.3387246,6978,-5.86587381362915
1558966719.3897471,6993,-6.324807167053223
1558966719.8367155,7049,-13.66640853881836
1558966720.454985,7153,-11.055423736572266
1558966721.2666073,7303,-7.889496326446533
1558966721.418504,7346,-11.710670471191406
1558966721.6097708,7365,-15.085986137390137
1558966722.4814517,7497,-5.961795330047607
1558966724.1001778,7751,-5.531486511230469
1558966724.2387319,7786,-9.568788528442383
1558966725.973536,8078,-0.5889339447021484
1558966726.1786485,8104,-3.1467792987823486
1558966726.3664222,8158,-4.4947662353515625
1558966727.1921268,8293,-6.8623433113098145
1558966727.7322168,8383,-9.256498336791992
1558966727.810391,8404,-4.461069583892822
1558966728.0407975,8448,-4.557952880859375
1558966728.510026,8534,-10.603381156921387
1558966728.906808,8619,-11.647729873657227
1558966729.921348,8776,-2.959517002105713
1558966730.4494534,8878,-2.3335258960723877
1558966731.155533,8980,-9.768558502197266
1558966731.541144,9048,-11.75638198852539
1558966732.3806477,9148,-6.5011467933654785
1558966732.4864645,9172,-3.468327045440674
1558966732.9927337,9235,-11.97628402709961
1558966733.1423423,9267,-4.78694486618042
1558966733.2341695,9279,-7.170295238494873
1558966733.7358963,9349,-13.573344230651855
1558966733.804842,9369,-7.178229331970215
1558966734.8310728,9519,-4.305808067321777
1558966736.303454,9767,-4.533926486968994
1558966736.5588586,9805,-11.29632568359375
1558966737.9247298,9978,-4.698596954345703
1558966738.610326,10093,-11.71928596496582
1558966738.7045982,10113,-11.502676010131836
1558966739.005649,10143,-3.4643568992614746
1558966739.1790419,10186,-6.690345764160156
1558966739.5863867,10220,-5.0062408447265625
1558966740.8497794,10404,-4.023648262023926
1558966741.095189,10441,-5.111539840698242
1558966741.395791,10503,-4.791990280151367
1558966741.7209368,10540,-4.583733081817627
1558966742.0136771,10590,-5.277024269104004
1558966742.4072978,10654,-13.971125602722168
1558966742.728559,10675,-10.582804679870605
1558966743.0023232,10734,-3.9102044105529785
1558966743.3698397,10807,-9.96135425567627
1558966745.9840934,11205,-9.92591381072998
1558966746.361199,11266,-8.323443412780762
1558966746.746051,11320,-2.549323081970215
1558966746.793265,11336,-3.402414560317993
1558966747.7099764,11443,-4.9256134033203125
1558966748.6411607,11592,-5.012206077575684
1558966748.8676496,11654,-5.8245720863342285
1558966749.2079928,11709,1.0405011177062988
1558966749.6677363,11787,-4.464310169219971
1558966749.9707663,11851,-10.410322189331055
1558966750.7829936,11991,-5.166901111602783
1558966751.2070355,12055,-13.776254653930664
1558966751.3159375,12079,-12.060766220092773
1558966751.3999135,12101,-9.781381607055664
1558966751.5015063,12134,-3.568451166152954
1558966751.7288241,12147,-3.5179953575134277
1558966752.4508476,12242,-5.1132307052612305
1558966752.8617299,12312,-5.502109527587891
1558966752.9836857,12339,-3.349026679992676
1558966753.5329368,12419,-7.15792179107666
1558966753.5937936,12432,-8.834996223449707
1558966753.8577898,12447,-6.828532695770264
1558966754.1961117,12513,-7.44904088973999
1558966754.5563948,12574,-10.373645782470703
1558966755.058378,12660,-4.0920281410217285
1558966755.1035337,12671,-3.9683265686035156
1558966755.3312166,12686,-3.264775037765503
1558966757.5122075,13064,-6.706674098968506
1558966757.9464977,13122,-6.012795925140381
1558966758.0199704,13149,-3.6661393642425537
1558966758.525467,13235,-4.425151824951172
1558966760.6650794,13658,-3.44732666015625
1558966761.0988488,13741,-3.789041519165039
1558966761.318166,13775,-5.095235824584961
1558966761.898105,13872,-10.451797485351562
1558966762.6178772,13995,-1.0616930723190308
1558966763.1198528,14082,-4.0506792068481445
1558966763.4025457,14137,-0.4930175244808197
1558966764.03176,14226,-5.37440299987793
1558966764.2174346,14251,-3.4479358196258545
1558966764.867849,14342,-4.982782363891602
1558966765.056601,14382,-11.359646797180176
1558966766.688609,14603,-6.2946391105651855
1558966766.7350543,14618,-4.354533672332764
1558966767.764331,14769,-6.455904006958008
1558966768.2498598,14810,-4.533149242401123
1558966769.1305506,14948,-1.6421688795089722
1558966769.3631415,15005,-5.667549133300781
1558966769.7881975,15052,-0.3961787521839142
1558966769.8690681,15066,-7.2267537117004395
1558966771.0364215,15238,-7.0291547775268555
1558966771.0956757,15254,-6.093400955200195
1558966771.487164,15321,-6.892899513244629
1558966771.5908482,15351,-13.729199409484863
1558966771.761059,15367,-7.085470199584961
1558966772.2529833,15436,-3.4965059757232666
1558966773.53392,15630,-11.068068504333496
1558966774.065248,15692,-14.061562538146973
1558966774.1767662,15719,-5.0631022453308105
1558966774.5608773,15763,-0.9458863735198975
1558966775.4617887,15900,-8.536577224731445
1558966775.6595702,15949,-4.964158535003662
1558966776.8529055,16078,-9.686988830566406
1558966777.9558713,16270,-8.03018569946289
1558966778.6069343,16378,-7.242804527282715
1558966779.8743663,16620,12.686514854431152
1558966780.4189072,16715,-5.441046237945557
1558966780.716022,16761,-5.093153476715088
1558966780.9244652,16800,-13.29121208190918
1558966781.2753203,16857,-4.858838081359863
